,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
32260,284594099,Jobitz8167,0,1,1,3,2,2,1,2,2,13
32261,285203737,Jobitz8167,0,2,1,1,1,0,2,2,0,7
32262,287208827,Jobitz8167,0,3,1,2,3,2,2,2,1,13
32263,287228800,Jobitz8167,0,4,1,3,1,2,3,1,1,12
32264,288216066,Jobitz8167,0,5,1,1,0,2,2,1,1,8
32265,288780715,Jobitz8167,1,6,1,1,0,1,2,1,1,7
32266,288783341,Jobitz8167,1,7,1,0,0,3,3,1,1,9
32267,291088439,Jobitz8167,1,8,1,0,1,0,2,2,1,7
32268,291091201,Jobitz8167,1,9,0,0,0,0,2,2,1,5
32269,291091830,Jobitz8167,1,10,0,0,0,0,2,1,0,3
32270,291106695,Jobitz8167,0,11,3,3,3,2,3,2,2,18
32271,292420679,Jobitz8167,0,12,1,3,2,2,2,2,2,14
32272,295599254,Jobitz8167,1,13,1,0,0,1,2,2,1,7
32273,295601138,Jobitz8167,1,14,1,1,1,3,3,1,1,11
32274,295602209,Jobitz8167,1,15,0,0,0,0,2,1,1,4
32275,295604610,Jobitz8167,1,16,1,0,0,1,3,1,1,7
32276,295605682,Jobitz8167,1,17,1,0,0,0,1,2,1,5
32277,296437101,Jobitz8167,0,18,3,1,3,2,3,2,2,16
32278,300135174,Jobitz8167,0,19,3,3,3,3,2,2,2,18
32279,300978471,Jobitz8167,1,20,2,1,0,1,1,1,0,6
