,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
32840,283684890,Judicousblue,0,1,1,1,2,1,2,1,2,10
32841,283684997,Judicousblue,0,2,0,0,1,0,2,1,1,5
32842,283830746,Judicousblue,0,3,3,1,1,1,2,1,1,10
32843,283920437,Judicousblue,0,4,1,2,0,0,1,2,1,7
32844,284001137,Judicousblue,0,5,3,1,3,3,3,2,3,18
32845,284015781,Judicousblue,1,6,3,3,3,3,3,2,2,19
32846,284016608,Judicousblue,1,7,1,1,0,1,1,2,1,7
32847,284113182,Judicousblue,1,8,3,1,3,3,3,2,2,17
32848,284119118,Judicousblue,0,9,2,1,2,1,2,2,1,11
32849,284702941,Judicousblue,0,10,3,3,3,3,3,2,2,19
32850,285692144,Judicousblue,0,11,0,0,2,0,1,2,0,5
32851,285776064,Judicousblue,1,12,1,0,0,0,2,1,0,4
32852,286092448,Judicousblue,0,13,3,3,3,3,3,2,2,19
32853,287304362,Judicousblue,0,14,3,1,3,3,3,2,2,17
32854,289401031,Judicousblue,0,15,3,3,3,3,3,2,2,19
32855,290828128,Judicousblue,0,16,1,2,0,0,1,2,2,8
32856,292228752,Judicousblue,0,17,3,1,3,0,3,1,2,13
32857,292242947,Judicousblue,0,18,3,3,3,3,3,2,2,19
32858,294445045,Judicousblue,0,19,3,1,2,1,3,1,1,12
32859,294528126,Judicousblue,1,20,3,3,3,3,3,2,3,20
