,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
33180,287646445,KKIP2,0,1,1,2,0,0,1,2,0,6
33181,294546411,KKIP2,0,2,1,2,0,1,1,2,2,9
33182,294667650,KKIP2,0,3,1,1,0,1,1,1,1,6
33183,294775490,KKIP2,0,4,2,1,3,2,2,2,2,14
33184,296114548,KKIP2,0,5,1,1,3,2,2,2,2,13
33185,299298689,KKIP2,1,6,1,1,2,1,2,1,2,10
33186,308804653,KKIP2,1,7,1,0,0,0,2,2,1,6
33187,308913517,KKIP2,1,8,3,3,3,3,3,2,2,19
33188,308937255,KKIP2,1,9,1,3,0,3,2,2,1,12
33189,309791250,KKIP2,1,10,1,1,1,3,2,2,2,12
33190,309802200,KKIP2,1,11,1,1,1,0,2,2,2,9
33191,345413832,KKIP2,0,12,1,3,0,2,2,1,1,10
33192,345484994,KKIP2,0,13,1,1,1,2,2,2,1,10
33193,348166984,KKIP2,0,14,1,1,3,3,2,2,2,14
33194,349209299,KKIP2,1,15,1,1,1,2,2,2,2,11
33195,349729380,KKIP2,0,16,1,1,1,2,2,1,1,9
33196,349979941,KKIP2,0,17,1,1,0,1,2,1,1,7
33197,351514926,KKIP2,1,18,1,1,1,2,2,2,1,10
33198,352706128,KKIP2,1,19,1,1,1,1,2,2,2,10
33199,353372495,KKIP2,0,20,1,1,0,1,2,1,1,7
