,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
33200,285629076,KKMedan,0,1,1,1,1,2,3,2,2,12
33201,286493681,KKMedan,0,2,1,2,3,1,2,2,2,13
33202,287338098,KKMedan,0,3,1,3,1,3,2,2,1,13
33203,287796593,KKMedan,0,4,1,1,3,1,2,2,3,13
33204,298551245,KKMedan,1,5,1,3,0,2,2,2,1,11
33205,302406878,KKMedan,1,6,1,1,0,1,2,1,1,7
33206,317861866,KKMedan,1,7,1,1,0,1,1,1,1,6
33207,317879292,KKMedan,1,8,1,2,0,1,2,2,1,9
33208,318040729,KKMedan,1,9,1,0,0,0,2,2,1,6
33209,318043971,KKMedan,1,10,1,1,1,3,2,2,1,11
33210,318056248,KKMedan,1,11,1,2,3,2,2,2,1,13
33211,318641760,KKMedan,1,12,3,1,0,2,2,1,2,11
33212,318805588,KKMedan,1,13,1,1,0,3,2,1,1,9
33213,318950676,KKMedan,1,14,3,1,0,3,2,1,1,11
33214,320241929,KKMedan,1,15,1,1,0,2,2,1,1,8
33215,320537517,KKMedan,1,16,1,2,0,0,1,2,1,7
33216,320540271,KKMedan,1,17,1,1,0,1,1,1,0,5
33217,320544006,KKMedan,1,18,1,1,0,1,2,1,1,7
33218,320795039,KKMedan,1,19,1,3,1,3,2,2,1,13
33219,347777311,KKMedan,1,20,1,3,0,2,2,2,1,11
