,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
34860,280980561,KuruptWolf,0,1,1,3,0,2,2,1,1,10
34861,280988528,KuruptWolf,0,2,1,3,0,2,2,1,1,10
34862,281019115,KuruptWolf,0,3,1,3,0,2,2,1,1,10
34863,281021831,KuruptWolf,0,4,1,3,0,2,2,1,1,10
34864,281163050,KuruptWolf,0,5,1,3,0,2,2,1,1,10
34865,281670941,KuruptWolf,0,6,1,3,0,2,2,1,1,10
34866,281698507,KuruptWolf,1,7,1,1,0,0,2,2,1,7
34867,281979435,KuruptWolf,0,8,1,3,0,2,2,1,1,10
34868,283032219,KuruptWolf,0,9,1,3,0,2,2,1,1,10
34869,283330576,KuruptWolf,0,10,1,3,0,2,2,1,1,10
34870,283554614,KuruptWolf,0,11,1,3,0,2,2,1,1,10
34871,283993205,KuruptWolf,0,12,1,3,0,2,2,1,1,10
34872,285689549,KuruptWolf,0,13,1,3,0,2,2,1,1,10
34873,287374532,KuruptWolf,0,14,1,3,0,2,2,1,1,10
34874,287652716,KuruptWolf,0,15,1,3,0,2,2,1,1,10
34875,287684709,KuruptWolf,0,16,1,3,0,2,2,1,1,10
34876,287845376,KuruptWolf,0,17,3,1,1,2,3,2,2,14
34877,287871224,KuruptWolf,0,18,1,3,0,2,2,1,1,10
34878,287954582,KuruptWolf,0,19,1,3,0,2,2,1,1,10
34879,288091948,KuruptWolf,0,20,1,1,0,0,1,2,1,6
