,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
34900,280193955,KylerKerrigan,0,1,0,0,0,1,1,1,1,4
34901,280198170,KylerKerrigan,0,2,0,0,0,1,1,1,1,4
34902,280199609,KylerKerrigan,0,3,1,1,0,1,1,1,1,6
34903,281485171,KylerKerrigan,0,4,0,0,0,0,2,1,1,4
34904,281487484,KylerKerrigan,0,5,1,1,0,1,2,1,1,7
34905,281489388,KylerKerrigan,0,6,1,1,0,1,2,1,1,7
34906,281490661,KylerKerrigan,0,7,0,0,1,0,2,2,0,5
34907,281775674,KylerKerrigan,0,8,1,0,0,1,2,1,1,6
34908,284990010,KylerKerrigan,0,9,1,2,0,0,3,2,2,10
34909,284993382,KylerKerrigan,0,10,1,2,0,1,2,2,2,10
34910,284994913,KylerKerrigan,0,11,1,3,3,2,3,2,2,16
34911,285305251,KylerKerrigan,0,12,1,2,0,1,2,2,2,10
34912,286096251,KylerKerrigan,0,13,1,1,3,1,3,1,2,12
34913,286099014,KylerKerrigan,0,14,0,0,1,0,2,2,1,6
34914,288276680,KylerKerrigan,0,15,2,0,0,0,1,2,2,7
34915,289740919,KylerKerrigan,1,16,3,3,3,3,3,2,3,20
34916,290068104,KylerKerrigan,0,17,3,1,3,1,3,1,2,14
34917,290393965,KylerKerrigan,0,18,3,1,1,1,2,2,1,11
34918,293097236,KylerKerrigan,0,19,3,3,0,3,2,1,2,14
34919,309655976,KylerKerrigan,0,20,1,3,1,3,3,2,2,15
