,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
35420,284693186,LVDanielE,0,1,1,1,1,2,2,1,1,9
35421,286412445,LVDanielE,0,2,1,1,1,0,2,2,2,9
35422,286699853,LVDanielE,0,3,0,0,0,0,2,1,0,3
35423,287005209,LVDanielE,0,4,0,0,1,2,2,2,0,7
35424,287011005,LVDanielE,0,5,0,0,1,2,2,2,1,8
35425,287015650,LVDanielE,1,6,3,3,3,3,3,2,3,20
35426,287016096,LVDanielE,1,7,1,1,1,0,2,2,2,9
35427,287027091,LVDanielE,0,8,0,0,0,0,2,1,1,4
35428,287029635,LVDanielE,0,9,0,0,0,0,2,2,0,4
35429,287894720,LVDanielE,0,10,1,1,0,0,1,2,1,6
35430,288011515,LVDanielE,0,11,1,1,1,0,3,2,2,10
35431,288039611,LVDanielE,0,12,0,0,0,0,2,1,1,4
35432,288040367,LVDanielE,0,13,1,0,0,0,2,2,1,6
35433,288306793,LVDanielE,0,14,1,1,1,0,2,2,2,9
35434,288311962,LVDanielE,0,15,1,0,0,0,1,2,1,5
35435,288574199,LVDanielE,0,16,1,1,0,0,2,1,0,5
35436,288576837,LVDanielE,0,17,0,0,0,0,2,1,1,4
35437,288787417,LVDanielE,1,18,1,1,0,0,2,1,1,6
35438,288790571,LVDanielE,0,19,0,0,0,0,2,1,1,4
35439,288797377,LVDanielE,1,20,2,0,0,1,2,2,1,8
