,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
36560,300205985,LonePotatoChip,0,1,2,0,0,1,2,1,1,7
36561,301384250,LonePotatoChip,0,2,1,1,0,0,3,2,2,9
36562,302039639,LonePotatoChip,1,3,1,1,1,3,2,2,1,11
36563,303038248,LonePotatoChip,0,4,2,0,2,0,3,2,1,10
36564,303501588,LonePotatoChip,1,5,1,0,0,0,2,2,2,7
36565,303505343,LonePotatoChip,0,6,1,1,0,0,2,1,2,7
36566,304247834,LonePotatoChip,0,7,1,3,1,2,2,1,3,13
36567,306378831,LonePotatoChip,0,8,1,0,1,2,2,2,1,9
36568,306390947,LonePotatoChip,0,9,3,2,1,2,2,2,2,14
36569,307612239,LonePotatoChip,1,10,3,0,1,0,2,2,2,10
36570,308978536,LonePotatoChip,0,11,1,3,3,2,1,2,2,14
36571,340347981,LonePotatoChip,0,12,1,1,0,0,2,1,1,6
36572,341010866,LonePotatoChip,0,13,2,0,1,0,2,2,1,8
36573,342226122,LonePotatoChip,0,14,2,0,0,0,2,1,1,6
36574,342285928,LonePotatoChip,0,15,2,0,0,0,2,2,1,7
36575,343020736,LonePotatoChip,0,16,3,0,0,2,2,2,2,11
36576,343022075,LonePotatoChip,0,17,3,1,3,1,3,2,2,15
36577,344321149,LonePotatoChip,0,18,0,0,2,2,2,2,2,10
36578,344328609,LonePotatoChip,0,19,3,1,2,1,2,2,1,12
36579,345129519,LonePotatoChip,0,20,2,0,0,0,2,1,1,6
