,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
36820,328243617,Ltherese,0,1,0,0,0,1,2,1,1,5
36821,328267560,Ltherese,0,2,1,3,1,2,3,2,2,14
36822,328270050,Ltherese,0,3,0,0,0,0,3,2,2,7
36823,328282507,Ltherese,0,4,0,0,0,1,2,1,1,5
36824,329919977,Ltherese,0,5,1,1,1,2,3,2,2,12
36825,329925654,Ltherese,0,6,0,0,0,0,3,1,2,6
36826,330495778,Ltherese,1,7,3,3,3,3,3,2,3,20
36827,330496067,Ltherese,0,8,1,1,0,1,1,2,1,7
36828,330990121,Ltherese,0,9,1,1,0,1,2,1,2,8
36829,331010121,Ltherese,0,10,1,0,0,0,2,2,1,6
36830,331167324,Ltherese,0,11,1,1,0,1,2,2,1,8
36831,332779011,Ltherese,0,12,0,0,0,0,0,0,0,0
36832,333464611,Ltherese,0,13,1,1,0,2,2,2,1,9
36833,334423592,Ltherese,0,14,0,0,0,0,0,0,0,0
36834,335355835,Ltherese,0,15,3,3,3,3,2,2,2,18
36835,335658877,Ltherese,1,16,1,3,2,2,1,2,3,14
36836,335913293,Ltherese,0,17,0,0,0,0,0,0,0,0
36837,336181504,Ltherese,1,18,0,0,0,0,2,1,0,3
36838,336188616,Ltherese,0,19,1,3,3,3,2,2,2,16
36839,336490105,Ltherese,1,20,1,1,3,0,3,2,2,12
