,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
36980,278239106,Luke2036,0,1,1,2,0,0,1,2,0,6
36981,278548037,Luke2036,1,2,1,1,0,3,2,2,2,11
36982,278550068,Luke2036,0,3,1,2,0,0,1,2,1,7
36983,278842132,Luke2036,0,4,1,2,0,1,2,2,0,8
36984,278848741,Luke2036,0,5,1,1,0,1,2,2,2,9
36985,279410150,Luke2036,0,6,1,1,0,1,1,1,1,6
36986,279413110,Luke2036,0,7,1,1,1,0,2,2,2,9
36987,279417124,Luke2036,0,8,1,1,0,1,1,1,1,6
36988,279419122,Luke2036,0,9,1,1,0,3,1,1,1,8
36989,279725499,Luke2036,0,10,0,0,0,0,0,0,0,0
36990,279726054,Luke2036,0,11,1,1,0,0,1,1,1,5
36991,279726489,Luke2036,0,12,1,0,0,0,2,2,1,6
36992,280045315,Luke2036,0,13,0,0,0,0,1,1,1,3
36993,280668701,Luke2036,0,14,1,1,3,3,2,2,2,14
36994,282688091,Luke2036,0,15,0,0,0,0,1,1,0,2
36995,282692380,Luke2036,0,16,1,1,0,0,2,1,1,6
36996,282693796,Luke2036,0,17,0,0,0,1,1,1,1,4
36997,282963921,Luke2036,0,18,0,0,0,1,2,0,1,4
36998,282965898,Luke2036,0,19,1,0,0,0,1,2,1,5
36999,282969239,Luke2036,0,20,1,0,0,0,2,0,1,4
