,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
37380,280462701,MAndrewHHS,0,1,1,1,0,0,2,1,1,6
37381,280744355,MAndrewHHS,0,2,1,2,0,0,1,2,1,7
37382,280771255,MAndrewHHS,1,3,1,1,0,1,1,1,1,6
37383,281446466,MAndrewHHS,0,4,0,0,0,1,2,1,1,5
37384,281725988,MAndrewHHS,1,5,1,1,0,1,2,1,1,7
37385,281727381,MAndrewHHS,1,6,1,1,0,3,3,1,1,10
37386,281731165,MAndrewHHS,1,7,0,0,0,1,2,2,1,6
37387,281733043,MAndrewHHS,1,8,0,0,0,0,2,2,1,5
37388,281735908,MAndrewHHS,1,9,1,1,0,0,2,1,0,5
37389,281998668,MAndrewHHS,1,10,1,3,0,3,1,1,1,10
37390,282284397,MAndrewHHS,0,11,1,3,0,2,1,1,1,9
37391,283061028,MAndrewHHS,1,12,1,1,3,1,2,1,2,11
37392,283311925,MAndrewHHS,1,13,1,1,3,0,1,1,2,9
37393,283331666,MAndrewHHS,0,14,1,1,1,2,2,1,2,10
37394,283343070,MAndrewHHS,0,15,1,3,1,3,2,1,2,13
37395,284324368,MAndrewHHS,0,16,1,3,1,2,2,2,2,13
37396,284905176,MAndrewHHS,0,17,1,3,2,2,2,1,2,13
37397,285257405,MAndrewHHS,1,18,1,2,3,1,3,2,2,14
37398,286029126,MAndrewHHS,0,19,1,3,1,2,3,2,2,14
37399,286348838,MAndrewHHS,1,20,1,3,1,2,3,2,2,14
