,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
37480,278060107,MEFCS19,0,1,0,0,0,0,1,1,1,3
37481,278060820,MEFCS19,0,2,0,0,0,0,0,0,0,0
37482,278355729,MEFCS19,0,3,0,0,0,0,1,1,1,3
37483,278357295,MEFCS19,0,4,0,0,0,1,2,0,1,4
37484,278358221,MEFCS19,0,5,1,1,0,1,2,1,1,7
37485,279852446,MEFCS19,0,6,0,0,0,1,1,1,1,4
37486,279853746,MEFCS19,0,7,1,0,0,0,1,2,1,5
37487,279855055,MEFCS19,0,8,1,0,0,0,2,0,1,4
37488,280156908,MEFCS19,0,9,0,0,0,0,1,1,1,3
37489,280161672,MEFCS19,0,10,1,0,0,0,2,0,1,4
37490,280164400,MEFCS19,0,11,1,0,0,0,2,0,1,4
37491,280166060,MEFCS19,0,12,1,0,0,1,2,2,1,7
37492,281452453,MEFCS19,0,13,1,1,0,3,1,1,1,8
37493,281455946,MEFCS19,0,14,1,1,1,0,2,2,2,9
37494,281458575,MEFCS19,0,15,1,0,0,1,2,2,2,8
37495,283345947,MEFCS19,1,16,1,1,0,3,2,2,2,11
37496,283348945,MEFCS19,0,17,1,2,0,1,2,2,1,9
37497,284647854,MEFCS19,1,18,1,2,2,2,2,2,1,12
37498,287968472,MEFCS19,1,19,1,1,1,2,2,1,2,10
37499,297435382,MEFCS19,0,20,1,3,1,2,2,2,1,12
