,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
37660,298454780,MK_SheWolf12,1,1,1,1,0,1,1,1,1,6
37661,298509662,MK_SheWolf12,0,2,0,0,0,0,0,0,0,0
37662,298511968,MK_SheWolf12,1,3,1,1,0,1,2,1,1,7
37663,298593008,MK_SheWolf12,1,4,1,3,0,2,2,1,1,10
37664,298596724,MK_SheWolf12,1,5,1,1,0,1,1,1,1,6
37665,298605540,MK_SheWolf12,1,6,1,3,0,2,2,1,1,10
37666,298717855,MK_SheWolf12,0,7,0,0,0,1,1,1,1,4
37667,298719533,MK_SheWolf12,0,8,0,0,0,1,1,1,1,4
37668,298721141,MK_SheWolf12,0,9,0,0,0,0,0,0,0,0
37669,300281417,MK_SheWolf12,0,10,1,1,0,1,1,1,1,6
37670,304448870,MK_SheWolf12,0,11,1,0,0,1,1,1,1,5
37671,304826182,MK_SheWolf12,1,12,1,3,0,2,2,1,1,10
37672,305179253,MK_SheWolf12,0,13,0,0,0,0,0,0,0,0
37673,305180474,MK_SheWolf12,0,14,0,0,0,0,0,0,0,0
37674,306057314,MK_SheWolf12,1,15,1,1,0,1,2,1,1,7
37675,307521075,MK_SheWolf12,0,16,1,1,0,1,2,2,1,8
37676,308638278,MK_SheWolf12,0,17,0,0,0,0,2,1,1,4
37677,312322359,MK_SheWolf12,0,18,0,0,0,0,0,0,0,0
37678,312327840,MK_SheWolf12,0,19,0,0,0,0,0,0,0,0
37679,312733157,MK_SheWolf12,0,20,0,0,0,0,0,1,0,1
