,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
37720,278054585,MLFCS19,0,1,0,0,0,0,1,1,1,3
37721,278055714,MLFCS19,0,2,0,0,0,0,0,0,0,0
37722,278056409,MLFCS19,0,3,1,1,0,0,1,1,1,5
37723,278058125,MLFCS19,0,4,0,0,0,1,2,0,1,4
37724,278059007,MLFCS19,0,5,1,2,0,1,2,2,1,9
37725,278350167,MLFCS19,0,6,0,0,0,1,1,1,1,4
37726,278350988,MLFCS19,0,7,1,0,0,0,1,2,1,5
37727,278352266,MLFCS19,0,8,1,0,0,0,2,0,1,4
37728,278353521,MLFCS19,0,9,0,0,0,0,1,1,1,3
37729,278354047,MLFCS19,0,10,1,0,0,0,2,0,1,4
37730,278354724,MLFCS19,0,11,1,0,0,0,2,0,1,4
37731,278355518,MLFCS19,0,12,1,0,0,1,2,2,1,7
37732,278357735,MLFCS19,0,13,1,1,0,3,1,1,1,8
37733,279848293,MLFCS19,0,14,1,1,1,0,2,2,2,9
37734,279851027,MLFCS19,0,15,1,1,0,1,2,2,2,9
37735,279856266,MLFCS19,1,16,1,1,0,3,2,2,2,11
37736,280156901,MLFCS19,0,17,1,2,0,0,2,2,1,8
37737,281455472,MLFCS19,1,18,1,2,3,2,2,2,1,13
37738,287966835,MLFCS19,1,19,1,1,1,2,2,2,2,11
37739,289691988,MLFCS19,1,20,3,3,3,3,3,2,2,19
