,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
38480,277835331,Marc_stlluis,0,1,1,1,0,1,1,1,1,6
38481,277842244,Marc_stlluis,0,2,1,1,0,1,1,1,0,5
38482,284440036,Marc_stlluis,0,3,0,0,0,0,2,1,1,4
38483,284440650,Marc_stlluis,0,4,1,1,0,1,2,1,1,7
38484,284441567,Marc_stlluis,0,5,0,0,0,1,2,1,1,5
38485,284442776,Marc_stlluis,0,6,0,0,0,0,0,0,0,0
38486,284443676,Marc_stlluis,0,7,0,0,0,0,0,0,0,0
38487,284443830,Marc_stlluis,0,8,0,0,0,0,0,0,0,0
38488,284444287,Marc_stlluis,0,9,0,0,0,1,1,1,1,4
38489,287386082,Marc_stlluis,0,10,0,0,0,1,2,1,1,5
38490,287386422,Marc_stlluis,0,11,0,0,0,0,2,1,1,4
38491,287386680,Marc_stlluis,0,12,0,0,0,0,2,1,1,4
38492,287387278,Marc_stlluis,0,13,0,0,0,0,0,0,0,0
38493,287388498,Marc_stlluis,0,14,0,0,0,1,2,1,1,5
38494,287389050,Marc_stlluis,0,15,1,0,0,0,2,1,1,5
38495,287391076,Marc_stlluis,0,16,1,1,0,1,1,1,0,5
38496,287391787,Marc_stlluis,0,17,1,1,0,1,2,1,1,7
38497,287392095,Marc_stlluis,0,18,1,1,3,2,3,2,1,13
38498,287393589,Marc_stlluis,0,19,1,0,0,3,1,1,1,7
38499,291014381,Marc_stlluis,0,20,1,1,1,0,2,2,1,8
