,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
38920,279889619,MaxEid25,0,1,1,2,0,0,1,2,1,7
38921,287207298,MaxEid25,1,2,1,3,3,2,3,2,2,16
38922,288819784,MaxEid25,0,3,1,0,1,0,2,2,1,7
38923,288876663,MaxEid25,1,4,1,2,0,2,1,2,1,9
38924,288879949,MaxEid25,1,5,1,3,0,2,3,2,1,12
38925,290796993,MaxEid25,1,6,1,2,0,0,1,2,0,6
38926,290807196,MaxEid25,1,7,1,3,0,2,2,2,1,11
38927,290912453,MaxEid25,1,8,3,3,0,2,2,1,2,13
38928,290913106,MaxEid25,1,9,1,1,0,2,2,1,1,8
38929,291562602,MaxEid25,0,10,0,0,0,0,1,2,0,3
38930,292248083,MaxEid25,1,11,1,3,1,3,3,2,2,15
38931,292508241,MaxEid25,1,12,1,2,1,2,3,2,2,13
38932,292528010,MaxEid25,1,13,1,2,1,2,3,2,2,13
38933,292531204,MaxEid25,1,14,1,2,1,2,3,2,2,13
38934,292532415,MaxEid25,1,15,1,3,0,2,2,2,1,11
38935,292541960,MaxEid25,1,16,1,3,1,3,3,2,2,15
38936,292544350,MaxEid25,1,17,1,2,3,3,3,2,1,15
38937,292635198,MaxEid25,1,18,1,2,1,2,3,2,2,13
38938,292637152,MaxEid25,1,19,1,2,1,2,3,2,2,13
38939,292640613,MaxEid25,1,20,1,3,1,3,3,2,2,15
