,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
39620,279470645,Mhernandez593,1,1,1,0,0,0,2,1,1,5
39621,279474619,Mhernandez593,1,2,1,0,0,0,2,1,1,5
39622,279475450,Mhernandez593,0,3,0,0,0,0,2,1,1,4
39623,279769246,Mhernandez593,0,4,0,0,0,0,1,2,0,3
39624,280393458,Mhernandez593,0,5,1,1,0,1,2,1,1,7
39625,280703804,Mhernandez593,0,6,0,0,0,1,2,1,1,5
39626,280706285,Mhernandez593,0,7,0,0,0,0,2,1,1,4
39627,280709992,Mhernandez593,0,8,0,0,0,0,0,0,0,0
39628,280713009,Mhernandez593,0,9,0,0,0,1,2,1,1,5
39629,281395423,Mhernandez593,0,10,1,1,0,1,2,1,1,7
39630,281957250,Mhernandez593,0,11,1,1,0,1,2,1,1,7
39631,283289532,Mhernandez593,0,12,1,0,0,1,2,2,1,7
39632,283547371,Mhernandez593,1,13,0,0,0,1,1,1,1,4
39633,283549050,Mhernandez593,1,14,0,0,0,0,2,1,1,4
39634,283555790,Mhernandez593,1,15,0,0,0,0,2,1,1,4
39635,283556661,Mhernandez593,1,16,0,0,0,0,2,1,1,4
39636,283557211,Mhernandez593,1,17,0,0,0,0,2,1,1,4
39637,283557755,Mhernandez593,1,18,0,0,0,1,2,1,1,5
39638,283558768,Mhernandez593,1,19,0,0,0,1,2,1,1,5
39639,283559567,Mhernandez593,1,20,0,0,0,0,2,1,1,4
