,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
39700,279741147,MicMen52,0,1,1,1,1,0,2,2,2,9
39701,280070041,MicMen52,0,2,1,3,0,3,2,2,1,12
39702,281669747,MicMen52,1,3,1,1,2,1,2,2,3,12
39703,282731012,MicMen52,1,4,1,1,1,0,2,2,2,9
39704,284857895,MicMen52,1,5,3,3,3,3,3,2,3,20
39705,284858595,MicMen52,1,6,3,3,3,3,3,2,2,19
39706,284861741,MicMen52,1,7,2,3,3,3,3,2,3,19
39707,284865388,MicMen52,1,8,2,3,3,3,3,2,3,19
39708,284866669,MicMen52,1,9,3,3,3,2,3,2,2,18
39709,284867513,MicMen52,1,10,3,3,3,3,3,2,3,20
39710,284873161,MicMen52,1,11,2,3,3,2,3,2,3,18
39711,285978992,MicMen52,0,12,1,3,0,3,2,1,1,11
39712,287872521,MicMen52,0,13,1,1,0,2,2,1,1,8
39713,290695354,MicMen52,0,14,0,0,0,0,2,1,1,4
39714,290695921,MicMen52,0,15,0,0,0,1,2,1,1,5
39715,290696570,MicMen52,0,16,0,0,0,1,2,1,1,5
39716,290697165,MicMen52,0,17,0,0,1,0,2,1,2,6
39717,291082992,MicMen52,0,18,1,3,0,3,1,1,1,10
39718,294874104,MicMen52,0,19,1,1,1,1,2,1,1,8
39719,295186111,MicMen52,0,20,1,1,0,1,2,1,1,7
