,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
39740,298600245,Michael_Gamers,0,1,0,0,0,0,0,0,0,0
39741,298601653,Michael_Gamers,1,2,2,0,3,1,2,0,2,10
39742,298622453,Michael_Gamers,1,3,3,1,0,2,3,1,2,12
39743,298625360,Michael_Gamers,1,4,2,3,3,3,3,2,3,19
39744,298627777,Michael_Gamers,0,5,0,0,0,0,0,0,0,0
39745,298631341,Michael_Gamers,1,6,3,1,3,2,3,2,3,17
39746,298692878,Michael_Gamers,0,7,1,1,0,2,1,1,1,7
39747,298699467,Michael_Gamers,1,8,3,3,3,2,3,2,3,19
39748,298704923,Michael_Gamers,0,9,0,0,0,0,0,0,0,0
39749,298707465,Michael_Gamers,0,10,0,0,0,0,1,1,0,2
39750,298710071,Michael_Gamers,0,11,0,0,0,0,1,1,0,2
39751,298752038,Michael_Gamers,0,12,1,0,0,2,2,1,1,7
39752,299066916,Michael_Gamers,0,13,0,0,0,1,2,1,1,5
39753,299268706,Michael_Gamers,1,14,3,1,0,1,2,1,1,9
39754,299415243,Michael_Gamers,0,15,3,1,3,2,3,2,3,17
39755,299924704,Michael_Gamers,0,16,0,0,0,0,0,0,0,0
39756,300114254,Michael_Gamers,0,17,1,1,0,0,1,1,1,5
39757,300133902,Michael_Gamers,0,18,0,0,0,0,1,1,1,3
39758,300240488,Michael_Gamers,0,19,0,0,0,0,1,1,1,3
39759,300251593,Michael_Gamers,0,20,0,0,0,0,0,0,0,0
