,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
39840,303080058,Mika_the_Kat,0,1,0,0,0,0,1,1,1,3
39841,303232105,Mika_the_Kat,0,2,1,1,0,0,2,1,1,6
39842,303233980,Mika_the_Kat,1,3,0,0,0,0,1,1,0,2
39843,303325340,Mika_the_Kat,1,4,1,1,0,0,2,1,1,6
39844,303337804,Mika_the_Kat,1,5,1,1,0,0,2,1,1,6
39845,303338197,Mika_the_Kat,1,6,1,1,0,0,2,1,1,6
39846,303460625,Mika_the_Kat,1,7,1,1,0,0,2,1,1,6
39847,303657718,Mika_the_Kat,0,8,0,0,0,0,2,1,1,4
39848,303659124,Mika_the_Kat,0,9,0,0,0,1,2,1,1,5
39849,303854754,Mika_the_Kat,1,10,1,1,0,1,2,1,1,7
39850,304850543,Mika_the_Kat,1,11,0,0,0,0,0,0,0,0
39851,306333065,Mika_the_Kat,1,12,1,1,0,0,2,1,1,6
39852,306341116,Mika_the_Kat,1,13,1,1,0,2,2,1,1,8
39853,308272463,Mika_the_Kat,1,14,1,1,0,2,2,1,1,8
39854,310009986,Mika_the_Kat,0,15,0,0,0,0,2,1,1,4
39855,310285371,Mika_the_Kat,0,16,0,0,0,0,0,0,0,0
39856,310948642,Mika_the_Kat,1,17,1,0,0,3,1,1,1,7
39857,311745408,Mika_the_Kat,0,18,0,0,0,0,2,1,1,4
39858,312715597,Mika_the_Kat,1,19,1,1,0,1,2,1,1,7
39859,312721267,Mika_the_Kat,0,20,0,0,0,0,2,1,1,4
