,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
40480,285464982,MontgomeryA125,0,1,1,1,0,0,1,2,1,6
40481,286098764,MontgomeryA125,0,2,1,1,0,0,1,1,1,5
40482,286600009,MontgomeryA125,0,3,0,0,0,0,1,1,1,3
40483,286736200,MontgomeryA125,0,4,1,1,0,1,2,2,2,9
40484,286737839,MontgomeryA125,1,5,1,1,0,3,2,2,2,11
40485,286743735,MontgomeryA125,1,6,1,1,0,3,2,2,2,11
40486,288748821,MontgomeryA125,1,7,1,0,0,2,2,2,1,8
40487,291874390,MontgomeryA125,0,8,1,1,0,1,1,1,1,6
40488,291877059,MontgomeryA125,1,9,1,1,0,0,1,1,0,4
40489,291877942,MontgomeryA125,1,10,1,1,0,3,2,2,2,11
40490,292194409,MontgomeryA125,0,11,1,1,1,0,2,2,2,9
40491,292210553,MontgomeryA125,0,12,1,1,1,0,2,2,2,9
40492,292219777,MontgomeryA125,1,13,1,0,0,0,2,2,1,6
40493,292220317,MontgomeryA125,1,14,1,0,0,0,2,2,1,6
40494,292452280,MontgomeryA125,0,15,1,3,0,3,1,1,1,10
40495,292602863,MontgomeryA125,0,16,1,3,0,3,1,1,1,10
40496,292603875,MontgomeryA125,0,17,1,3,0,3,1,1,1,10
40497,292604996,MontgomeryA125,0,18,1,3,0,3,1,1,1,10
40498,292605646,MontgomeryA125,0,19,1,3,0,3,1,1,1,10
40499,292608016,MontgomeryA125,1,20,1,1,0,3,2,2,2,11
