,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
40900,278738555,Mrjtp,0,1,1,1,0,0,2,1,1,6
40901,280563428,Mrjtp,0,2,1,1,1,0,1,2,1,7
40902,296701677,Mrjtp,1,3,3,3,3,3,3,2,2,19
40903,296701813,Mrjtp,1,4,3,3,3,3,3,2,2,19
40904,296702715,Mrjtp,1,5,3,3,3,3,3,2,3,20
40905,301134298,Mrjtp,0,6,1,1,1,0,2,2,2,9
40906,301139561,Mrjtp,0,7,1,1,1,0,2,1,1,7
40907,301140785,Mrjtp,0,8,0,0,0,0,0,0,0,0
40908,301141157,Mrjtp,0,9,0,0,0,0,0,0,0,0
40909,301142154,Mrjtp,0,10,1,1,0,2,1,2,1,8
40910,301461948,Mrjtp,0,11,0,0,1,2,2,1,1,7
40911,303752071,Mrjtp,0,12,3,0,0,0,2,1,1,7
40912,303758980,Mrjtp,0,13,1,0,3,0,3,2,2,11
40913,303762446,Mrjtp,0,14,1,0,1,0,2,2,1,7
40914,303835195,Mrjtp,0,15,1,0,1,0,3,2,2,9
40915,303853603,Mrjtp,0,16,1,0,1,0,3,2,1,8
40916,303859075,Mrjtp,0,17,1,0,1,2,3,2,1,10
40917,304579273,Mrjtp,0,18,1,0,0,0,1,2,1,5
40918,304583667,Mrjtp,0,19,1,1,0,0,1,1,0,4
40919,304839244,Mrjtp,0,20,0,0,0,0,2,1,1,4
