,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
40920,292848975,MrsStablefordy4,0,1,1,2,0,2,1,2,0,8
40921,292853963,MrsStablefordy4,0,2,0,0,0,0,2,2,0,4
40922,292854642,MrsStablefordy4,0,3,0,0,0,0,2,2,1,5
40923,293525655,MrsStablefordy4,0,4,0,0,0,2,1,2,0,5
40924,293531143,MrsStablefordy4,0,5,1,1,0,2,1,1,0,6
40925,293534031,MrsStablefordy4,0,6,0,0,0,2,1,2,0,5
40926,293871016,MrsStablefordy4,0,7,0,0,0,2,1,2,1,6
40927,294200964,MrsStablefordy4,1,8,2,3,3,3,3,2,3,19
40928,294202794,MrsStablefordy4,1,9,1,3,2,2,2,2,2,14
40929,294204877,MrsStablefordy4,0,10,0,0,0,2,1,1,1,5
40930,294206538,MrsStablefordy4,1,11,3,3,0,2,2,1,1,12
40931,296281051,MrsStablefordy4,1,12,3,3,0,2,2,1,2,13
40932,296289543,MrsStablefordy4,1,13,0,0,3,3,2,2,1,11
40933,296293982,MrsStablefordy4,1,14,3,1,3,3,3,2,3,18
40934,298540557,MrsStablefordy4,1,15,3,3,3,3,3,2,3,20
40935,298542824,MrsStablefordy4,1,16,1,3,1,3,3,2,2,15
40936,298568284,MrsStablefordy4,1,17,1,3,3,2,2,2,2,15
40937,298619637,MrsStablefordy4,1,18,1,3,2,2,1,2,2,13
40938,298621892,MrsStablefordy4,1,19,1,2,1,0,2,2,2,10
40939,298653549,MrsStablefordy4,1,20,3,3,1,2,2,2,2,15
