,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
41000,287206952,MsUnicorn_Love,0,1,1,2,0,1,1,2,1,8
41001,290350450,MsUnicorn_Love,0,2,1,0,0,0,1,2,1,5
41002,292120961,MsUnicorn_Love,1,3,0,0,0,0,2,1,0,3
41003,292242101,MsUnicorn_Love,1,4,0,0,0,0,2,1,0,3
41004,292244728,MsUnicorn_Love,1,5,1,1,0,0,2,2,1,7
41005,292406733,MsUnicorn_Love,1,6,0,0,0,0,2,1,0,3
41006,292669341,MsUnicorn_Love,1,7,1,1,0,1,2,1,1,7
41007,292740734,MsUnicorn_Love,1,8,1,1,0,0,2,2,1,7
41008,295375391,MsUnicorn_Love,1,9,0,0,0,0,1,2,1,4
41009,295975454,MsUnicorn_Love,1,10,1,1,0,0,2,1,1,6
41010,296206208,MsUnicorn_Love,0,11,0,0,0,0,1,1,0,2
41011,296344917,MsUnicorn_Love,0,12,1,1,0,1,1,2,1,7
41012,296571641,MsUnicorn_Love,1,13,0,0,0,0,2,1,0,3
41013,296696364,MsUnicorn_Love,1,14,1,1,0,0,2,2,1,7
41014,296702722,MsUnicorn_Love,1,15,0,0,0,0,2,1,0,3
41015,296798561,MsUnicorn_Love,0,16,1,0,0,0,1,2,1,5
41016,296803084,MsUnicorn_Love,1,17,0,0,0,0,1,1,0,2
41017,296893285,MsUnicorn_Love,1,18,1,0,0,1,2,1,0,5
41018,296901574,MsUnicorn_Love,0,19,1,0,0,0,1,2,1,5
41019,297138262,MsUnicorn_Love,1,20,0,0,0,0,0,0,0,0
