,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
41060,279763126,Mssamra,0,1,1,1,0,1,2,1,1,7
41061,282332261,Mssamra,1,2,1,3,0,3,2,1,1,11
41062,282548981,Mssamra,1,3,1,3,2,2,2,1,1,12
41063,283348290,Mssamra,1,4,1,3,0,2,2,1,1,10
41064,284575620,Mssamra,1,5,0,0,0,0,2,1,1,4
41065,285789963,Mssamra,1,6,1,1,0,1,2,1,1,7
41066,285796008,Mssamra,1,7,1,3,0,2,2,1,1,10
41067,287496807,Mssamra,0,8,1,3,0,3,2,1,1,11
41068,288206234,Mssamra,1,9,1,3,0,2,2,1,1,10
41069,301253706,Mssamra,1,10,0,0,0,0,0,0,0,0
41070,301273169,Mssamra,1,11,1,1,0,2,2,1,1,8
41071,301640485,Mssamra,1,12,1,3,0,2,2,1,1,10
41072,301702297,Mssamra,1,13,1,2,0,0,2,2,1,8
41073,301965170,Mssamra,1,14,1,1,0,0,1,1,0,4
41074,301993373,Mssamra,1,15,0,0,0,0,0,0,0,0
41075,302003876,Mssamra,1,16,0,0,0,0,2,1,0,3
41076,302008141,Mssamra,1,17,3,1,0,0,2,1,1,8
41077,302285303,Mssamra,1,18,0,0,0,0,0,0,0,0
41078,302306278,Mssamra,1,19,1,1,0,1,2,1,1,7
41079,302333398,Mssamra,1,20,0,0,0,0,0,0,0,0
