,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
41920,293070121,Narwhalzrule_123,0,1,1,0,0,3,1,2,1,8
41921,293323078,Narwhalzrule_123,0,2,1,0,0,1,1,2,1,6
41922,301958805,Narwhalzrule_123,0,3,1,3,0,3,2,1,1,11
41923,302261235,Narwhalzrule_123,0,4,1,3,0,2,1,1,1,9
41924,302454741,Narwhalzrule_123,0,5,1,3,0,2,1,1,1,9
41925,302723444,Narwhalzrule_123,1,6,0,0,0,1,1,1,1,4
41926,302790599,Narwhalzrule_123,0,7,1,3,0,2,1,1,1,9
41927,303029036,Narwhalzrule_123,1,8,3,3,2,3,3,1,2,17
41928,303258798,Narwhalzrule_123,1,9,1,2,3,2,2,2,2,14
41929,303501268,Narwhalzrule_123,0,10,1,3,0,2,1,1,1,9
41930,304839990,Narwhalzrule_123,1,11,2,3,3,2,2,2,3,17
41931,304841037,Narwhalzrule_123,0,12,1,1,1,2,2,2,2,11
41932,305263278,Narwhalzrule_123,0,13,0,0,0,0,1,1,0,2
41933,305484817,Narwhalzrule_123,0,14,1,1,1,0,2,2,2,9
41934,305795105,Narwhalzrule_123,0,15,1,1,3,1,2,2,1,11
41935,305835714,Narwhalzrule_123,1,16,3,3,3,2,3,2,2,18
41936,306605665,Narwhalzrule_123,1,17,1,2,0,0,1,2,0,6
41937,306617890,Narwhalzrule_123,1,18,3,1,0,1,3,1,1,10
41938,307272785,Narwhalzrule_123,0,19,1,1,3,2,1,2,2,12
41939,307599494,Narwhalzrule_123,0,20,1,3,0,2,1,1,1,9
