,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
42780,288575300,NotMarshMellowAlone,1,1,3,3,3,2,3,2,2,18
42781,288582784,NotMarshMellowAlone,1,2,1,1,0,1,2,1,1,7
42782,288606082,NotMarshMellowAlone,1,3,0,0,0,0,2,1,0,3
42783,288617583,NotMarshMellowAlone,1,4,1,1,0,0,2,1,1,6
42784,288955863,NotMarshMellowAlone,1,5,1,3,0,2,2,1,1,10
42785,288994769,NotMarshMellowAlone,1,6,3,3,0,2,3,1,2,14
42786,289107473,NotMarshMellowAlone,1,7,1,1,0,1,2,1,1,7
42787,290445222,NotMarshMellowAlone,1,8,3,1,3,3,2,2,2,16
42788,290712187,NotMarshMellowAlone,1,9,1,1,0,1,2,1,1,7
42789,290918613,NotMarshMellowAlone,1,10,0,0,0,1,2,1,1,5
42790,291806971,NotMarshMellowAlone,1,11,1,1,0,0,2,1,1,6
42791,292536829,NotMarshMellowAlone,1,12,1,1,0,0,2,1,1,6
42792,292626405,NotMarshMellowAlone,1,13,1,1,0,0,2,1,1,6
42793,292628071,NotMarshMellowAlone,1,14,1,3,0,2,2,1,1,10
42794,292667844,NotMarshMellowAlone,1,15,1,3,0,2,2,1,1,10
42795,292668536,NotMarshMellowAlone,1,16,2,1,0,1,2,1,1,8
42796,292670505,NotMarshMellowAlone,1,17,0,0,0,0,1,1,0,2
42797,292671098,NotMarshMellowAlone,1,18,1,1,0,2,2,1,1,8
42798,292671789,NotMarshMellowAlone,1,19,1,1,0,0,2,1,1,6
42799,292672689,NotMarshMellowAlone,1,20,1,1,0,0,2,1,1,6
