,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
43200,318638595,OOOOOOfyAgain,0,1,0,0,0,0,1,1,0,2
43201,318641272,OOOOOOfyAgain,0,2,1,0,0,3,1,1,0,6
43202,318726426,OOOOOOfyAgain,1,3,0,0,0,0,0,0,0,0
43203,318766523,OOOOOOfyAgain,1,4,2,3,0,3,2,1,1,12
43204,319025640,OOOOOOfyAgain,0,5,0,0,0,0,2,1,1,4
43205,319027369,OOOOOOfyAgain,1,6,0,0,0,0,1,1,0,2
43206,319029076,OOOOOOfyAgain,1,7,1,1,0,3,1,1,1,8
43207,319032635,OOOOOOfyAgain,1,8,0,0,0,0,0,0,0,0
43208,319060044,OOOOOOfyAgain,1,9,0,0,0,0,1,1,1,3
43209,319061216,OOOOOOfyAgain,1,10,2,3,0,3,2,1,1,12
43210,319094391,OOOOOOfyAgain,0,11,1,1,0,3,1,1,1,8
43211,319149881,OOOOOOfyAgain,1,12,1,1,0,0,2,1,1,6
43212,319156949,OOOOOOfyAgain,1,13,3,3,3,3,3,1,2,18
43213,319174278,OOOOOOfyAgain,1,14,3,3,3,3,3,1,3,19
43214,319175734,OOOOOOfyAgain,1,15,3,1,0,3,2,1,1,11
43215,319233026,OOOOOOfyAgain,0,16,1,1,3,2,3,2,2,14
43216,319233942,OOOOOOfyAgain,1,17,1,1,0,0,2,1,1,6
43217,319892267,OOOOOOfyAgain,1,18,1,0,0,0,2,1,0,4
43218,320388742,OOOOOOfyAgain,0,19,1,1,0,3,2,1,1,9
43219,320463813,OOOOOOfyAgain,0,20,1,1,0,0,1,1,1,5
