,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
43340,317403129,Octoling8207,0,1,1,1,0,2,1,2,1,8
43341,317408225,Octoling8207,0,2,1,3,0,3,2,2,1,12
43342,317629758,Octoling8207,0,3,1,3,0,3,1,2,1,11
43343,319096153,Octoling8207,0,4,3,3,1,3,2,2,2,16
43344,319244925,Octoling8207,0,5,1,3,1,2,2,2,2,13
43345,319290504,Octoling8207,0,6,1,1,0,2,2,1,1,8
43346,319817409,Octoling8207,0,7,0,0,0,0,0,0,0,0
43347,320245057,Octoling8207,0,8,1,0,0,0,1,2,1,5
43348,320342793,Octoling8207,0,9,0,0,0,0,0,0,0,0
43349,320627119,Octoling8207,0,10,0,0,0,1,2,1,1,5
43350,322950481,Octoling8207,0,11,1,1,0,1,2,1,1,7
43351,323172344,Octoling8207,0,12,1,3,0,3,2,1,1,11
43352,323515943,Octoling8207,0,13,1,1,0,0,2,1,1,6
43353,323971080,Octoling8207,0,14,0,0,0,0,0,0,0,0
43354,323978954,Octoling8207,0,15,0,0,0,0,0,1,0,1
43355,324613500,Octoling8207,0,16,0,0,0,0,0,0,0,0
43356,324629601,Octoling8207,0,17,0,0,0,0,1,1,1,3
43357,324764287,Octoling8207,0,18,1,0,0,0,1,1,1,4
43358,324917021,Octoling8207,0,19,1,1,0,2,1,2,1,8
43359,326009974,Octoling8207,0,20,0,0,0,0,0,0,0,0
