,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
43940,281697078,OwenOrtmeier_,0,1,0,0,0,0,1,2,1,4
43941,281698201,OwenOrtmeier_,0,2,0,0,0,0,1,2,1,4
43942,281698992,OwenOrtmeier_,0,3,0,0,0,0,1,2,0,3
43943,281699388,OwenOrtmeier_,0,4,0,0,0,0,1,2,1,4
43944,281699795,OwenOrtmeier_,0,5,0,0,0,0,2,2,1,5
43945,282274377,OwenOrtmeier_,1,6,1,1,0,1,2,1,1,7
43946,282275050,OwenOrtmeier_,1,7,1,0,0,3,3,1,1,9
43947,282276450,OwenOrtmeier_,1,8,0,0,0,0,2,2,1,5
43948,282277424,OwenOrtmeier_,1,9,0,0,0,0,2,2,1,5
43949,282278420,OwenOrtmeier_,1,10,0,0,0,0,2,1,0,3
43950,282752889,OwenOrtmeier_,0,11,0,0,0,0,1,2,0,3
43951,282753505,OwenOrtmeier_,0,12,0,0,0,1,2,2,0,5
43952,282754452,OwenOrtmeier_,0,13,0,0,0,1,2,2,1,6
43953,282754979,OwenOrtmeier_,0,14,0,0,0,1,1,2,0,4
43954,282755493,OwenOrtmeier_,0,15,0,0,0,0,1,2,0,3
43955,282756591,OwenOrtmeier_,0,16,1,0,0,0,1,2,1,5
43956,282757476,OwenOrtmeier_,0,17,1,0,0,1,2,2,0,6
43957,282758634,OwenOrtmeier_,0,18,0,0,0,0,1,2,0,3
43958,282759624,OwenOrtmeier_,0,19,0,0,0,0,2,1,0,3
43959,283033703,OwenOrtmeier_,0,20,0,0,0,0,1,1,0,2
