,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
43980,325128107,P3WD13P131SC00L,0,1,1,1,0,0,2,2,1,7
43981,325280442,P3WD13P131SC00L,0,2,1,2,0,0,2,2,1,8
43982,325586905,P3WD13P131SC00L,0,3,1,1,0,0,1,1,1,5
43983,325589979,P3WD13P131SC00L,0,4,1,3,0,3,1,1,1,10
43984,325592910,P3WD13P131SC00L,0,5,1,3,0,3,1,2,1,11
43985,325754441,P3WD13P131SC00L,0,6,1,0,0,0,1,2,1,5
43986,325758190,P3WD13P131SC00L,0,7,1,0,0,0,1,2,1,5
43987,326110879,P3WD13P131SC00L,0,8,0,0,0,0,1,2,2,5
43988,327140024,P3WD13P131SC00L,0,9,1,1,1,3,1,2,1,10
43989,327364433,P3WD13P131SC00L,0,10,1,2,0,0,1,2,2,8
43990,329499829,P3WD13P131SC00L,0,11,1,0,0,0,1,2,1,5
43991,331173130,P3WD13P131SC00L,0,12,1,0,2,0,1,2,0,6
43992,331809045,P3WD13P131SC00L,0,13,1,1,2,0,2,2,2,10
43993,332927823,P3WD13P131SC00L,0,14,1,1,0,2,2,2,1,9
43994,333624602,P3WD13P131SC00L,0,15,2,0,0,1,3,2,2,10
43995,339375995,P3WD13P131SC00L,0,16,1,0,0,0,1,2,1,5
43996,342479382,P3WD13P131SC00L,0,17,1,1,2,2,1,2,2,11
43997,343870728,P3WD13P131SC00L,0,18,0,0,1,2,2,2,3,10
43998,344284676,P3WD13P131SC00L,0,19,0,0,0,0,2,1,2,5
43999,344586936,P3WD13P131SC00L,1,20,1,3,2,2,3,2,2,15
