,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
44020,276984870,PH26238,0,1,1,1,0,0,2,1,1,6
44021,279866103,PH26238,0,2,1,2,0,0,2,2,1,8
44022,281760645,PH26238,1,3,1,1,0,3,2,2,2,11
44023,281760777,PH26238,0,4,1,2,0,1,2,2,1,9
44024,281764280,PH26238,0,5,1,0,0,1,2,2,1,7
44025,281766627,PH26238,0,6,1,0,0,1,2,2,2,8
44026,282072607,PH26238,0,7,1,2,0,1,2,2,1,9
44027,284967121,PH26238,0,8,1,0,0,0,2,2,1,6
44028,284971521,PH26238,0,9,0,0,0,1,1,1,1,4
44029,284972590,PH26238,0,10,1,1,0,3,1,1,1,8
44030,284974118,PH26238,0,11,0,0,0,0,1,3,0,4
44031,286706441,PH26238,0,12,0,0,0,0,2,1,1,4
44032,286707502,PH26238,0,13,1,0,0,0,0,0,1,2
44033,286707895,PH26238,0,14,0,0,0,1,2,1,1,5
44034,286708450,PH26238,0,15,1,0,0,0,1,2,1,5
44035,286709282,PH26238,0,16,1,0,0,0,2,1,1,5
44036,286710032,PH26238,0,17,1,0,0,0,2,1,1,5
44037,290394849,PH26238,0,18,1,0,0,0,2,2,1,6
44038,294120560,PH26238,0,19,1,1,0,1,2,1,1,7
44039,296193694,PH26238,0,20,2,0,0,1,1,1,1,6
