,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
44160,284136464,Painters_R0ck,1,1,1,1,0,0,2,1,1,6
44161,284703166,Painters_R0ck,1,2,1,1,0,1,2,1,1,7
44162,284989354,Painters_R0ck,1,3,1,1,0,0,2,1,1,6
44163,285580368,Painters_R0ck,1,4,0,0,0,0,2,1,0,3
44164,286088700,Painters_R0ck,1,5,1,1,0,0,2,1,1,6
44165,287233423,Painters_R0ck,1,6,1,1,0,1,2,1,1,7
44166,287272042,Painters_R0ck,1,7,1,2,0,0,2,2,1,8
44167,287283563,Painters_R0ck,1,8,1,0,0,0,1,2,1,5
44168,287286034,Painters_R0ck,1,9,3,1,0,0,3,1,2,10
44169,287300095,Painters_R0ck,1,10,1,1,0,1,2,1,1,7
44170,287315337,Painters_R0ck,1,11,0,0,0,0,2,1,1,4
44171,287372182,Painters_R0ck,1,12,1,1,0,1,2,2,1,8
44172,287388139,Painters_R0ck,0,13,1,0,0,0,1,2,1,5
44173,287405852,Painters_R0ck,1,14,0,0,0,0,1,1,0,2
44174,287407050,Painters_R0ck,1,15,0,0,0,0,2,1,0,3
44175,287410978,Painters_R0ck,1,16,1,2,0,0,1,2,1,7
44176,287411632,Painters_R0ck,1,17,1,1,1,0,2,2,2,9
44177,287504095,Painters_R0ck,1,18,1,1,0,1,2,1,1,7
44178,287710068,Painters_R0ck,1,19,1,2,0,1,2,2,1,9
44179,290302016,Painters_R0ck,1,20,3,1,0,2,2,1,1,10
