,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
44900,296688131,Pietje500,0,1,0,0,0,0,1,2,1,4
44901,296689140,Pietje500,0,2,0,0,0,0,2,1,1,4
44902,296689181,Pietje500,0,3,1,0,0,0,1,2,1,5
44903,296690275,Pietje500,0,4,0,0,0,0,1,1,1,3
44904,296690625,Pietje500,0,5,0,0,0,0,2,1,1,4
44905,296690786,Pietje500,0,6,0,0,0,1,1,2,1,5
44906,296691427,Pietje500,0,7,0,0,0,0,2,1,1,4
44907,296691696,Pietje500,0,8,0,0,0,1,2,1,1,5
44908,296691841,Pietje500,0,9,0,0,0,1,2,1,1,5
44909,296692452,Pietje500,0,10,0,0,0,0,1,2,1,4
44910,296799225,Pietje500,0,11,0,0,0,0,1,2,0,3
44911,301834958,Pietje500,0,12,1,1,0,0,1,2,0,5
44912,301838232,Pietje500,0,13,1,1,0,1,2,1,1,7
44913,301842959,Pietje500,0,14,1,1,0,0,2,1,1,6
44914,301844692,Pietje500,0,15,1,1,0,0,2,1,1,6
44915,301861603,Pietje500,0,16,0,0,0,1,1,1,1,4
44916,301863268,Pietje500,0,17,1,1,0,1,2,1,1,7
44917,301863775,Pietje500,0,18,1,1,0,1,1,1,1,6
44918,301865747,Pietje500,0,19,1,0,0,0,2,2,1,6
44919,301866105,Pietje500,0,20,1,1,0,1,2,1,1,7
