,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
44940,285541243,PigletTubeScratch,0,1,1,3,1,2,2,2,2,13
44941,285562224,PigletTubeScratch,0,2,1,3,1,2,2,2,3,14
44942,285581884,PigletTubeScratch,0,3,0,0,0,0,1,2,0,3
44943,288214218,PigletTubeScratch,1,4,3,3,3,3,3,2,3,20
44944,288241799,PigletTubeScratch,0,5,1,1,2,2,1,2,3,12
44945,288261527,PigletTubeScratch,0,6,1,2,2,2,2,2,3,14
44946,288276348,PigletTubeScratch,0,7,1,3,2,2,3,2,2,15
44947,288371760,PigletTubeScratch,0,8,1,2,2,2,3,2,2,14
44948,288578389,PigletTubeScratch,0,9,3,1,2,2,3,2,2,15
44949,288673844,PigletTubeScratch,0,10,3,0,0,1,2,1,1,8
44950,288702347,PigletTubeScratch,0,11,1,1,2,2,2,2,2,12
44951,288983215,PigletTubeScratch,0,12,2,1,3,0,2,2,2,12
44952,289078141,PigletTubeScratch,0,13,3,3,3,3,3,2,2,19
44953,290647733,PigletTubeScratch,1,14,2,1,1,0,2,2,2,10
44954,290674592,PigletTubeScratch,0,15,2,3,1,3,2,2,3,16
44955,290762157,PigletTubeScratch,0,16,2,2,1,2,3,2,3,15
44956,290808219,PigletTubeScratch,0,17,2,2,2,2,2,2,3,15
44957,290874898,PigletTubeScratch,0,18,1,1,0,2,2,2,1,9
44958,290879018,PigletTubeScratch,0,19,1,1,1,0,2,2,3,10
44959,290880018,PigletTubeScratch,0,20,1,2,0,0,1,2,2,8
