,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
45880,305867291,PurpleMarshmallows,1,1,1,3,0,2,2,1,1,10
45881,305874000,PurpleMarshmallows,1,2,3,1,0,1,2,2,1,10
45882,305892934,PurpleMarshmallows,0,3,0,0,0,0,0,0,0,0
45883,306100387,PurpleMarshmallows,1,4,3,1,0,2,2,2,1,11
45884,306110008,PurpleMarshmallows,0,5,0,0,0,0,1,1,1,3
45885,307975981,PurpleMarshmallows,0,6,1,1,0,1,2,2,1,8
45886,307982719,PurpleMarshmallows,1,7,1,3,0,2,2,1,1,10
45887,307995715,PurpleMarshmallows,1,8,3,3,0,3,2,1,1,13
45888,309675166,PurpleMarshmallows,1,9,3,3,1,2,3,1,2,15
45889,309681544,PurpleMarshmallows,1,10,1,1,0,0,1,2,1,6
45890,310388465,PurpleMarshmallows,1,11,1,1,0,0,1,2,1,6
45891,310814168,PurpleMarshmallows,1,12,3,1,0,1,2,2,1,10
45892,310884048,PurpleMarshmallows,1,13,1,3,0,2,2,2,1,11
45893,310885130,PurpleMarshmallows,1,14,1,1,0,1,2,1,1,7
45894,310933308,PurpleMarshmallows,1,15,1,1,0,0,2,2,1,7
45895,311752934,PurpleMarshmallows,1,16,1,3,0,2,2,1,1,10
45896,313046274,PurpleMarshmallows,1,17,0,0,0,1,2,1,1,5
45897,313049677,PurpleMarshmallows,1,18,1,1,0,3,2,2,1,10
45898,313054629,PurpleMarshmallows,1,19,0,0,0,0,0,0,0,0
45899,313056590,PurpleMarshmallows,0,20,1,0,0,0,1,2,1,5
