,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
46440,319889375,RPF_Translation,0,1,0,0,0,0,0,0,0,0
46441,319890618,RPF_Translation,0,2,0,0,0,0,1,2,0,3
46442,319890992,RPF_Translation,0,3,0,0,0,0,0,0,0,0
46443,319891366,RPF_Translation,0,4,0,0,0,0,0,0,0,0
46444,319891945,RPF_Translation,0,5,1,0,0,0,0,3,0,4
46445,320696576,RPF_Translation,0,6,0,0,0,0,0,0,0,0
46446,320697088,RPF_Translation,0,7,0,0,0,0,0,0,0,0
46447,320698047,RPF_Translation,1,8,1,2,0,2,3,2,2,12
46448,320698814,RPF_Translation,1,9,1,1,0,2,3,2,2,11
46449,320699675,RPF_Translation,1,10,0,0,2,1,2,2,2,9
46450,321577122,RPF_Translation,1,11,0,0,0,0,1,2,0,3
46451,321577764,RPF_Translation,1,12,0,0,0,0,1,2,2,5
46452,321581044,RPF_Translation,1,13,0,0,2,0,1,2,2,7
46453,321581807,RPF_Translation,1,14,0,0,2,0,1,2,2,7
46454,321582131,RPF_Translation,1,15,0,0,2,0,1,2,2,7
46455,321582295,RPF_Translation,1,16,0,0,0,0,1,2,1,4
46456,321583519,RPF_Translation,0,17,1,2,3,2,2,2,1,13
46457,321585080,RPF_Translation,0,18,0,0,0,0,0,0,0,0
46458,321586761,RPF_Translation,0,19,0,0,0,0,0,0,0,0
46459,321588322,RPF_Translation,0,20,0,0,0,0,0,0,0,0
