,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
46860,277811663,Ratcheyboo,0,1,1,2,0,1,2,2,1,9
46861,278099095,Ratcheyboo,0,2,0,0,0,0,2,1,1,4
46862,279591707,Ratcheyboo,0,3,2,1,0,2,2,1,1,9
46863,290715858,Ratcheyboo,1,4,1,1,0,0,2,2,1,7
46864,290716359,Ratcheyboo,1,5,1,1,0,0,2,2,1,7
46865,291578480,Ratcheyboo,0,6,1,2,0,0,2,2,1,8
46866,291823183,Ratcheyboo,0,7,1,2,0,0,1,2,1,7
46867,291921579,Ratcheyboo,0,8,1,2,0,1,2,2,1,9
46868,294459668,Ratcheyboo,0,9,1,2,0,0,1,2,2,8
46869,296221204,Ratcheyboo,0,10,1,1,0,0,2,1,1,6
46870,297509857,Ratcheyboo,0,11,1,2,0,0,2,2,1,8
46871,297737982,Ratcheyboo,0,12,1,0,0,0,2,2,1,6
46872,300763095,Ratcheyboo,0,13,3,1,1,0,2,2,1,10
46873,300767617,Ratcheyboo,0,14,2,2,0,1,2,2,1,10
46874,300780598,Ratcheyboo,0,15,1,0,0,2,2,2,1,8
46875,300785654,Ratcheyboo,0,16,1,1,0,1,2,1,1,7
46876,300806641,Ratcheyboo,0,17,1,0,0,1,2,2,1,7
46877,301135729,Ratcheyboo,0,18,2,1,0,1,2,2,1,9
46878,301405233,Ratcheyboo,0,19,3,1,0,1,2,2,2,11
46879,302366631,Ratcheyboo,0,20,3,3,2,2,2,3,1,16
