,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
47020,281597335,RealityMusic_2-0,0,1,1,1,0,1,2,1,1,7
47021,281602241,RealityMusic_2-0,0,2,1,3,0,2,2,1,1,10
47022,281795379,RealityMusic_2-0,0,3,1,1,0,1,2,1,1,7
47023,282098083,RealityMusic_2-0,0,4,1,0,0,2,2,1,0,6
47024,282215496,RealityMusic_2-0,0,5,1,1,0,1,2,1,1,7
47025,282671066,RealityMusic_2-0,0,6,1,1,0,1,2,1,1,7
47026,282674712,RealityMusic_2-0,0,7,1,1,0,1,2,1,1,7
47027,282847264,RealityMusic_2-0,0,8,0,0,0,0,2,1,0,3
47028,282853736,RealityMusic_2-0,0,9,1,0,0,2,2,1,0,6
47029,282940615,RealityMusic_2-0,0,10,0,0,0,0,2,1,0,3
47030,283508326,RealityMusic_2-0,0,11,0,0,0,0,0,0,0,0
47031,286036227,RealityMusic_2-0,0,12,1,1,0,1,2,1,1,7
47032,286110281,RealityMusic_2-0,0,13,1,1,0,1,2,1,1,7
47033,286248614,RealityMusic_2-0,0,14,0,0,0,0,2,1,0,3
47034,286551570,RealityMusic_2-0,0,15,1,3,0,3,1,0,1,9
47035,286649663,RealityMusic_2-0,0,16,1,3,0,2,1,1,1,9
47036,287162521,RealityMusic_2-0,0,17,0,0,0,0,0,0,0,0
47037,287291217,RealityMusic_2-0,0,18,1,1,0,1,2,1,1,7
47038,288125174,RealityMusic_2-0,0,19,1,1,0,2,2,1,1,8
47039,288141953,RealityMusic_2-0,0,20,0,0,0,0,1,1,0,2
