,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
47120,300250951,RedDefault,0,1,1,1,0,1,2,1,1,7
47121,305468814,RedDefault,0,2,0,0,0,1,1,2,0,4
47122,312789350,RedDefault,0,3,1,3,0,2,2,1,1,10
47123,312948642,RedDefault,0,4,2,1,1,1,2,2,2,11
47124,313092248,RedDefault,0,5,1,1,0,0,2,1,1,6
47125,313094207,RedDefault,0,6,1,3,0,2,2,1,1,10
47126,317235805,RedDefault,0,7,1,1,0,2,2,1,1,8
47127,318128229,RedDefault,0,8,1,1,0,1,2,1,1,7
47128,318129876,RedDefault,0,9,1,1,0,0,2,1,1,6
47129,318133102,RedDefault,0,10,1,1,0,0,2,1,1,6
47130,319393012,RedDefault,0,11,1,1,0,2,2,1,1,8
47131,319395280,RedDefault,0,12,0,0,0,0,0,0,0,0
47132,335687163,RedDefault,0,13,1,1,0,1,2,1,1,7
47133,335689203,RedDefault,0,14,0,0,0,0,2,1,0,3
47134,335696266,RedDefault,0,15,1,1,0,2,2,1,1,8
47135,335940634,RedDefault,0,16,1,0,0,0,2,1,0,4
47136,335942937,RedDefault,1,17,1,3,0,2,2,1,2,11
47137,336006676,RedDefault,0,18,0,0,0,0,0,0,0,0
47138,336010093,RedDefault,0,19,1,1,0,0,2,2,1,7
47139,336047496,RedDefault,0,20,1,1,0,2,2,1,1,8
