,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
47500,282317730,Riggamox000,0,1,0,0,0,0,1,2,1,4
47501,283603555,Riggamox000,1,2,1,1,0,1,2,1,1,7
47502,283604665,Riggamox000,1,3,0,0,0,0,2,1,1,4
47503,283605321,Riggamox000,1,4,2,1,1,3,1,2,1,11
47504,283622221,Riggamox000,1,5,0,0,0,0,2,1,1,4
47505,283623637,Riggamox000,1,6,1,0,0,3,3,1,1,9
47506,284632074,Riggamox000,1,7,0,0,0,0,1,2,1,4
47507,284647147,Riggamox000,1,8,0,0,0,0,2,2,0,4
47508,284648004,Riggamox000,1,9,1,1,0,3,2,2,2,11
47509,284649776,Riggamox000,1,10,0,0,0,1,2,1,1,5
47510,284650692,Riggamox000,1,11,0,0,0,0,2,1,0,3
47511,285243436,Riggamox000,1,12,1,0,0,1,2,2,1,7
47512,285257817,Riggamox000,1,13,0,0,0,1,2,1,1,5
47513,285258814,Riggamox000,1,14,0,0,1,0,3,2,2,8
47514,285260652,Riggamox000,1,15,1,1,1,0,2,2,2,9
47515,286080149,Riggamox000,0,16,1,1,0,0,2,1,1,6
47516,287255035,Riggamox000,1,17,1,0,0,3,3,1,1,9
47517,288820794,Riggamox000,0,18,1,1,0,1,2,1,1,7
47518,293380840,Riggamox000,0,19,1,1,0,1,2,1,1,7
47519,294973507,Riggamox000,0,20,0,0,0,1,2,1,1,5
