,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
47860,293391413,Ron0_and_Tungster,0,1,1,1,0,0,2,1,1,6
47861,293738027,Ron0_and_Tungster,0,2,1,1,0,1,2,1,1,7
47862,293793955,Ron0_and_Tungster,0,3,0,0,0,0,0,0,0,0
47863,293801296,Ron0_and_Tungster,0,4,0,0,0,1,2,1,1,5
47864,293807263,Ron0_and_Tungster,0,5,1,0,0,0,2,2,0,5
47865,294713445,Ron0_and_Tungster,0,6,0,0,0,0,0,0,0,0
47866,294943058,Ron0_and_Tungster,0,7,0,0,0,0,0,0,0,0
47867,295360060,Ron0_and_Tungster,0,8,0,0,0,0,0,0,0,0
47868,295364014,Ron0_and_Tungster,0,9,1,1,0,1,2,1,1,7
47869,297799298,Ron0_and_Tungster,0,10,0,0,0,0,0,0,0,0
47870,298964393,Ron0_and_Tungster,1,11,1,1,0,1,2,1,1,7
47871,300561701,Ron0_and_Tungster,0,12,1,2,3,1,3,2,1,13
47872,303674892,Ron0_and_Tungster,0,13,0,0,0,1,2,1,1,5
47873,303676231,Ron0_and_Tungster,0,14,1,1,0,1,2,1,1,7
47874,307233361,Ron0_and_Tungster,0,15,0,0,0,0,0,0,0,0
47875,311992107,Ron0_and_Tungster,0,16,1,1,0,1,2,1,1,7
47876,312474590,Ron0_and_Tungster,0,17,0,0,0,0,0,0,0,0
47877,323071248,Ron0_and_Tungster,0,18,1,1,0,1,2,1,1,7
47878,323072370,Ron0_and_Tungster,0,19,1,1,0,1,2,1,1,7
47879,324886565,Ron0_and_Tungster,0,20,0,0,0,0,0,0,0,0
