,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
47940,287079892,Roran0207,1,1,1,1,0,1,2,1,1,7
47941,287151973,Roran0207,0,2,1,1,0,3,2,1,1,9
47942,287474603,Roran0207,1,3,1,2,0,1,2,2,1,9
47943,287621054,Roran0207,0,4,1,1,0,2,1,1,1,7
47944,287816295,Roran0207,0,5,1,1,0,2,2,2,1,9
47945,287826149,Roran0207,1,6,3,1,3,2,2,2,2,15
47946,287841200,Roran0207,0,7,1,1,0,2,2,1,1,8
47947,288389136,Roran0207,0,8,0,0,0,1,1,1,1,4
47948,288391421,Roran0207,0,9,0,0,0,1,1,1,1,4
47949,288400982,Roran0207,0,10,1,1,0,1,1,1,1,6
47950,288406713,Roran0207,0,11,1,1,0,2,2,1,1,8
47951,288418046,Roran0207,0,12,1,1,0,1,2,1,1,7
47952,288926567,Roran0207,0,13,1,3,0,3,2,1,1,11
47953,289051197,Roran0207,0,14,1,1,0,1,2,2,1,8
47954,289231547,Roran0207,0,15,0,0,0,1,2,1,1,5
47955,289523960,Roran0207,0,16,1,3,0,3,2,1,1,11
47956,290178027,Roran0207,0,17,1,1,0,3,2,1,1,9
47957,290180009,Roran0207,0,18,1,1,0,1,2,1,1,7
47958,290209459,Roran0207,0,19,1,3,0,3,2,1,1,11
47959,292014300,Roran0207,0,20,3,3,0,3,2,1,1,13
