,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
48260,278307782,RyRyKhul,0,1,1,2,0,3,3,2,1,12
48261,279507087,RyRyKhul,0,2,0,0,0,1,2,2,1,6
48262,279835345,RyRyKhul,1,3,1,1,0,1,2,1,1,7
48263,279839533,RyRyKhul,1,4,1,0,0,3,3,1,1,9
48264,279844480,RyRyKhul,1,5,0,0,0,1,1,2,1,5
48265,280088709,RyRyKhul,0,6,1,1,2,1,2,2,1,10
48266,280761748,RyRyKhul,0,7,0,0,1,1,2,1,1,6
48267,281438451,RyRyKhul,0,8,1,1,0,1,2,1,1,7
48268,281694573,RyRyKhul,1,9,1,2,1,0,2,2,1,9
48269,281780291,RyRyKhul,1,10,1,1,0,1,2,1,0,6
48270,282300120,RyRyKhul,1,11,1,0,0,1,2,2,1,7
48271,282303429,RyRyKhul,1,12,1,1,1,3,3,1,1,11
48272,282309551,RyRyKhul,1,13,0,0,0,0,2,1,1,4
48273,282481299,RyRyKhul,1,14,0,0,0,1,3,1,1,6
48274,282482670,RyRyKhul,1,15,1,0,0,0,1,2,1,5
48275,282779972,RyRyKhul,0,16,2,0,0,1,2,1,1,7
48276,283068037,RyRyKhul,1,17,1,3,0,2,1,1,1,9
48277,283289108,RyRyKhul,0,18,1,3,0,3,2,2,1,12
48278,284352194,RyRyKhul,0,19,2,3,0,3,2,1,1,12
48279,294945419,RyRyKhul,0,20,1,3,2,3,2,2,1,14
