,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
48620,276964022,SE3271,0,1,1,2,0,0,1,2,0,6
48621,276965232,SE3271,0,2,1,2,0,0,1,2,1,7
48622,276966576,SE3271,0,3,1,2,0,1,2,2,0,8
48623,276967366,SE3271,0,4,1,1,0,1,2,2,2,9
48624,277762345,SE3271,1,5,3,1,3,1,3,2,1,14
48625,278062371,SE3271,1,6,2,1,1,0,2,1,3,10
48626,278354741,SE3271,0,7,1,1,0,0,2,1,1,6
48627,278667149,SE3271,0,8,1,2,3,0,3,2,1,12
48628,278672477,SE3271,0,9,1,0,1,2,2,2,1,9
48629,278960804,SE3271,0,10,1,2,3,0,3,2,1,12
48630,278965938,SE3271,0,11,1,1,3,0,2,2,1,10
48631,279847488,SE3271,0,12,3,2,3,0,3,2,2,15
48632,279856005,SE3271,0,13,1,3,1,3,2,2,1,13
48633,280168722,SE3271,1,14,1,1,2,2,2,2,2,12
48634,280169964,SE3271,0,15,0,0,0,0,2,1,1,4
48635,280476309,SE3271,0,16,0,0,0,0,2,1,1,4
48636,280487324,SE3271,0,17,0,0,0,0,2,2,1,5
48637,281449612,SE3271,0,18,0,0,1,2,2,1,1,7
48638,281741111,SE3271,0,19,1,3,0,3,1,1,0,9
48639,282041903,SE3271,0,20,1,0,0,0,2,1,1,5
