,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
49600,330021741,SauRou,0,1,1,0,0,0,1,2,1,5
49601,330042105,SauRou,0,2,1,0,0,1,1,2,1,6
49602,330085149,SauRou,0,3,3,3,3,3,3,2,2,19
49603,330192288,SauRou,0,4,1,1,1,2,2,2,1,10
49604,330399523,SauRou,0,5,1,0,0,1,1,2,1,6
49605,330561632,SauRou,0,6,3,3,3,3,3,2,2,19
49606,330667331,SauRou,0,7,1,3,3,3,3,2,2,17
49607,330668427,SauRou,0,8,1,0,0,1,1,2,1,6
49608,330795298,SauRou,0,9,3,3,3,3,3,2,2,19
49609,330819773,SauRou,0,10,1,0,0,1,1,2,1,6
49610,333270427,SauRou,0,11,1,3,3,3,3,2,2,17
49611,333877316,SauRou,1,12,3,3,3,3,3,2,3,20
49612,333900878,SauRou,1,13,2,3,3,3,3,2,2,18
49613,333910935,SauRou,1,14,2,3,3,3,3,2,2,18
49614,334366806,SauRou,1,15,2,3,3,3,3,2,2,18
49615,334384416,SauRou,1,16,3,3,3,3,3,2,3,20
49616,334405302,SauRou,1,17,3,1,3,3,3,2,2,17
49617,334448855,SauRou,1,18,3,3,3,3,3,2,3,20
49618,334698748,SauRou,1,19,2,3,3,3,3,2,2,18
49619,334705500,SauRou,0,20,1,1,1,3,2,2,1,11
