,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
49620,280163096,Saxmap16,1,1,1,0,0,1,2,1,1,6
49621,280478112,Saxmap16,1,2,1,1,0,0,1,1,1,5
49622,281743600,Saxmap16,1,3,1,0,0,0,1,2,1,5
49623,282035238,Saxmap16,1,4,0,0,0,0,0,0,0,0
49624,282318147,Saxmap16,1,5,0,0,0,0,0,0,0,0
49625,293403706,Saxmap16,1,6,1,1,0,3,1,1,1,8
49626,294395435,Saxmap16,1,7,1,1,0,3,1,1,1,8
49627,294956303,Saxmap16,1,8,1,0,0,2,2,2,1,8
49628,295304798,Saxmap16,0,9,0,0,0,0,0,0,0,0
49629,295651018,Saxmap16,0,10,1,0,0,2,2,2,1,8
49630,296150121,Saxmap16,0,11,0,0,0,0,0,0,0,0
49631,297077101,Saxmap16,0,12,0,0,0,0,0,0,0,0
49632,297434094,Saxmap16,1,13,1,1,0,1,1,1,0,5
49633,297792535,Saxmap16,1,14,1,1,0,2,1,1,0,6
49634,298468815,Saxmap16,0,15,0,0,0,0,0,0,0,0
49635,299008704,Saxmap16,0,16,0,0,0,0,0,0,0,0
49636,299861613,Saxmap16,1,17,1,0,0,0,1,2,2,6
49637,331931485,Saxmap16,0,18,0,0,0,0,0,0,0,0
49638,331935046,Saxmap16,0,19,0,0,0,0,0,0,0,0
49639,332225632,Saxmap16,0,20,0,0,0,1,3,1,1,6
