,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
50240,285563366,SeeratDMSS1,0,1,1,1,0,0,2,1,1,6
50241,287498657,SeeratDMSS1,0,2,1,0,0,0,2,2,1,6
50242,290050870,SeeratDMSS1,0,3,1,0,0,0,1,2,0,4
50243,291506499,SeeratDMSS1,0,4,1,0,1,0,2,2,1,7
50244,297095624,SeeratDMSS1,0,5,1,0,0,2,1,1,0,5
50245,297455324,SeeratDMSS1,0,6,1,1,1,0,1,1,2,7
50246,299027338,SeeratDMSS1,0,7,0,0,1,0,2,1,1,5
50247,299368417,SeeratDMSS1,0,8,1,1,1,0,1,1,2,7
50248,299372848,SeeratDMSS1,0,9,1,3,1,2,1,1,2,11
50249,299881023,SeeratDMSS1,0,10,1,3,1,2,1,1,2,11
50250,300218404,SeeratDMSS1,0,11,1,3,0,2,1,1,1,9
50251,301065621,SeeratDMSS1,0,12,0,0,2,2,2,2,2,10
50252,302795458,SeeratDMSS1,0,13,1,1,3,3,2,2,2,14
50253,303505272,SeeratDMSS1,0,14,1,1,3,0,2,2,2,11
50254,304311412,SeeratDMSS1,1,15,1,1,2,0,2,2,2,10
50255,304314046,SeeratDMSS1,0,16,1,1,2,0,2,2,2,10
50256,305050205,SeeratDMSS1,0,17,2,0,0,0,2,1,1,6
50257,305843732,SeeratDMSS1,0,18,2,0,0,0,2,1,1,6
50258,305844371,SeeratDMSS1,0,19,2,0,0,0,2,1,1,6
50259,305846392,SeeratDMSS1,0,20,2,0,0,0,2,1,1,6
