,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
50560,284038511,ShadowsRise,0,1,1,1,1,3,2,2,1,11
50561,284085947,ShadowsRise,0,2,1,0,3,0,2,3,1,10
50562,284127591,ShadowsRise,1,3,3,3,3,2,2,2,2,17
50563,285680715,ShadowsRise,1,4,0,0,0,0,2,0,0,2
50564,285683014,ShadowsRise,1,5,2,0,0,0,1,2,1,6
50565,285685505,ShadowsRise,1,6,0,0,0,0,0,0,0,0
50566,285686150,ShadowsRise,1,7,0,0,0,0,2,0,1,3
50567,285763722,ShadowsRise,1,8,1,1,0,0,2,2,1,7
50568,285767533,ShadowsRise,1,9,3,3,3,3,3,2,2,19
50569,286105470,ShadowsRise,0,10,0,0,0,0,1,3,0,4
50570,286107894,ShadowsRise,1,11,1,0,0,0,2,2,1,6
50571,286108338,ShadowsRise,1,12,1,0,0,0,2,2,1,6
50572,286108770,ShadowsRise,1,13,1,0,0,0,2,2,1,6
50573,286739318,ShadowsRise,0,14,0,0,0,0,0,0,0,0
50574,287684335,ShadowsRise,0,15,1,1,0,1,2,1,1,7
50575,287692031,ShadowsRise,1,16,0,0,0,0,0,0,0,0
50576,287693856,ShadowsRise,1,17,1,2,3,2,2,2,1,13
50577,287733617,ShadowsRise,0,18,0,0,0,0,0,0,0,0
50578,288297185,ShadowsRise,0,19,1,1,0,1,2,1,1,7
50579,289762832,ShadowsRise,0,20,1,0,0,0,1,1,1,4
