,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
51120,279535187,Silverflower1,0,1,1,0,0,0,1,2,1,5
51121,281970460,Silverflower1,1,2,1,3,2,2,2,2,1,13
51122,282051919,Silverflower1,1,3,1,2,0,2,2,2,1,10
51123,282054735,Silverflower1,1,4,0,0,0,0,0,0,0,0
51124,282085334,Silverflower1,1,5,1,2,0,0,2,2,1,8
51125,282257668,Silverflower1,1,6,0,0,0,0,0,0,0,0
51126,282315316,Silverflower1,1,7,1,1,0,0,2,2,1,7
51127,282806807,Silverflower1,1,8,1,1,0,1,2,1,1,7
51128,282823277,Silverflower1,1,9,0,0,0,0,0,0,0,0
51129,283009913,Silverflower1,1,10,1,0,0,0,1,2,1,5
51130,283097828,Silverflower1,1,11,1,0,0,0,1,2,1,5
51131,283322559,Silverflower1,1,12,1,0,0,0,0,0,1,2
51132,284328714,Silverflower1,1,13,0,0,0,0,0,0,0,0
51133,284575301,Silverflower1,1,14,1,0,0,0,1,2,1,5
51134,284602822,Silverflower1,1,15,1,1,0,0,2,2,1,7
51135,285009945,Silverflower1,1,16,0,0,0,0,0,0,0,0
51136,285010361,Silverflower1,1,17,0,0,0,0,2,1,0,3
51137,286295890,Silverflower1,1,18,1,0,0,0,1,2,1,5
51138,286323865,Silverflower1,0,19,0,0,0,0,2,1,0,3
51139,286398993,Silverflower1,1,20,1,3,0,3,2,2,1,12
