,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
51300,283382060,SkyBlueQuartz,1,1,1,3,0,2,2,1,1,10
51301,283383419,SkyBlueQuartz,1,2,1,3,0,2,2,1,1,10
51302,283648421,SkyBlueQuartz,0,3,1,1,0,1,2,2,1,8
51303,283882345,SkyBlueQuartz,0,4,0,0,0,0,0,0,0,0
51304,283893198,SkyBlueQuartz,1,5,1,3,2,2,2,2,2,14
51305,283927562,SkyBlueQuartz,1,6,1,2,3,1,3,2,1,13
51306,283932503,SkyBlueQuartz,0,7,0,0,0,0,0,0,0,0
51307,283992492,SkyBlueQuartz,0,8,0,0,0,0,0,0,0,0
51308,284002148,SkyBlueQuartz,0,9,0,0,0,0,0,0,0,0
51309,284012193,SkyBlueQuartz,0,10,1,0,0,0,1,2,1,5
51310,284039409,SkyBlueQuartz,0,11,0,0,0,0,0,0,0,0
51311,284046582,SkyBlueQuartz,1,12,1,2,3,0,1,2,1,10
51312,284049181,SkyBlueQuartz,0,13,1,1,0,1,2,1,1,7
51313,284887924,SkyBlueQuartz,0,14,1,0,0,3,1,0,1,6
51314,285661764,SkyBlueQuartz,1,15,1,0,0,0,2,1,1,5
51315,285665010,SkyBlueQuartz,1,16,1,3,0,3,1,2,1,11
51316,285708001,SkyBlueQuartz,0,17,0,0,0,0,0,0,0,0
51317,285708094,SkyBlueQuartz,0,18,0,0,0,0,1,2,1,4
51318,285723897,SkyBlueQuartz,0,19,0,0,0,0,1,2,1,4
51319,285825854,SkyBlueQuartz,1,20,1,0,0,0,1,2,1,5
