,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
51340,277834713,Skyloft2008,0,1,1,3,1,2,2,2,2,13
51341,278748886,Skyloft2008,0,2,1,3,1,2,2,2,1,12
51342,279039371,Skyloft2008,0,3,1,3,2,2,2,2,1,13
51343,289450316,Skyloft2008,0,4,1,1,1,0,2,2,1,8
51344,289453965,Skyloft2008,0,5,1,1,1,0,2,2,1,8
51345,289793295,Skyloft2008,0,6,1,3,1,2,2,2,2,13
51346,290443363,Skyloft2008,1,7,1,1,0,1,2,1,1,7
51347,290446767,Skyloft2008,0,8,1,3,1,2,2,2,1,12
51348,290713996,Skyloft2008,0,9,3,3,1,2,2,2,2,15
51349,290723833,Skyloft2008,0,10,1,3,0,3,2,2,1,12
51350,290914696,Skyloft2008,0,11,3,1,1,1,2,2,2,12
51351,290969426,Skyloft2008,0,12,3,3,1,2,2,1,1,13
51352,291581579,Skyloft2008,1,13,1,3,1,2,2,2,1,12
51353,298535719,Skyloft2008,0,14,1,3,2,2,2,2,1,13
51354,298726136,Skyloft2008,1,15,0,0,0,0,0,0,0,0
51355,298731623,Skyloft2008,1,16,3,3,3,2,3,2,2,18
51356,303349946,Skyloft2008,1,17,1,1,0,0,2,1,1,6
51357,303665828,Skyloft2008,0,18,3,3,1,2,2,1,1,13
51358,303673782,Skyloft2008,1,19,3,1,2,0,2,2,2,12
51359,303785609,Skyloft2008,0,20,0,0,0,1,2,1,0,4
