,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
51360,328030524,SkyyDPA,0,1,1,1,0,2,1,1,1,7
51361,328295896,SkyyDPA,1,2,1,0,0,0,1,2,1,5
51362,328546078,SkyyDPA,1,3,0,0,0,0,2,1,1,4
51363,328548690,SkyyDPA,1,4,0,0,0,0,2,1,1,4
51364,328550335,SkyyDPA,1,5,0,0,0,0,2,1,1,4
51365,328551972,SkyyDPA,0,6,1,0,0,0,2,1,1,5
51366,329241956,SkyyDPA,0,7,1,2,0,0,2,2,1,8
51367,330121471,SkyyDPA,0,8,1,1,0,1,2,1,1,7
51368,330192722,SkyyDPA,0,9,0,0,0,1,2,1,1,5
51369,330357805,SkyyDPA,0,10,1,1,0,1,2,1,1,7
51370,331192728,SkyyDPA,1,11,1,1,0,1,2,1,1,7
51371,332957823,SkyyDPA,0,12,0,0,0,0,2,1,1,4
51372,333310477,SkyyDPA,0,13,1,0,0,1,2,2,1,7
51373,333976894,SkyyDPA,0,14,0,0,0,1,2,1,1,5
51374,334487915,SkyyDPA,0,15,1,3,0,3,2,2,1,12
51375,335105707,SkyyDPA,0,16,1,3,0,3,1,2,1,11
51376,338010803,SkyyDPA,0,17,1,1,1,0,2,2,1,8
51377,338344571,SkyyDPA,0,18,1,1,1,0,2,2,1,8
51378,338359106,SkyyDPA,0,19,1,1,1,0,2,2,1,8
51379,339060614,SkyyDPA,1,20,1,1,1,0,2,2,1,8
