,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
51700,312010808,Snow-Flake101,1,1,0,0,0,0,2,1,0,3
51701,312063615,Snow-Flake101,0,2,0,0,0,0,0,0,0,0
51702,312349617,Snow-Flake101,1,3,0,0,0,0,2,1,0,3
51703,312352839,Snow-Flake101,0,4,0,0,0,0,0,0,0,0
51704,312364926,Snow-Flake101,1,5,0,0,0,0,2,1,0,3
51705,312648435,Snow-Flake101,1,6,0,0,0,0,2,1,0,3
51706,312649972,Snow-Flake101,1,7,1,1,0,1,2,1,1,7
51707,312704059,Snow-Flake101,1,8,0,0,0,0,1,1,0,2
51708,312707086,Snow-Flake101,1,9,3,1,2,2,3,1,3,15
51709,312728402,Snow-Flake101,1,10,1,1,0,0,2,1,1,6
51710,313762478,Snow-Flake101,1,11,0,0,0,0,2,1,0,3
51711,325851159,Snow-Flake101,1,12,1,1,0,1,2,1,1,7
51712,326008866,Snow-Flake101,1,13,1,1,0,0,2,1,1,6
51713,326282150,Snow-Flake101,1,14,0,0,0,0,2,1,0,3
51714,327635927,Snow-Flake101,1,15,1,1,0,1,2,1,1,7
51715,329067466,Snow-Flake101,1,16,2,3,0,2,2,1,1,11
51716,329073181,Snow-Flake101,1,17,1,1,0,2,2,1,1,8
51717,329082934,Snow-Flake101,1,18,3,3,0,2,2,1,1,12
51718,329629875,Snow-Flake101,1,19,1,3,0,2,2,2,1,11
51719,331799228,Snow-Flake101,1,20,1,1,0,2,2,1,1,8
