,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
52280,288706339,Springbonnie121213,1,1,3,3,3,3,3,2,2,19
52281,329871477,Springbonnie121213,0,2,1,1,0,1,2,2,1,8
52282,333774966,Springbonnie121213,0,3,0,0,0,0,0,0,0,0
52283,336498798,Springbonnie121213,0,4,1,3,0,2,2,1,1,10
52284,336741568,Springbonnie121213,0,5,1,1,0,1,2,1,1,7
52285,336971508,Springbonnie121213,0,6,1,1,0,0,2,1,1,6
52286,337218354,Springbonnie121213,0,7,1,3,0,2,2,1,1,10
52287,338493330,Springbonnie121213,0,8,1,2,1,1,2,2,1,10
52288,339852521,Springbonnie121213,0,9,1,1,0,1,2,1,1,7
52289,339967379,Springbonnie121213,0,10,1,2,0,1,2,2,1,9
52290,340218874,Springbonnie121213,0,11,1,1,0,1,2,1,1,7
52291,342527060,Springbonnie121213,0,12,1,1,0,1,2,1,1,7
52292,347694296,Springbonnie121213,0,13,1,1,0,1,2,1,1,7
52293,348598542,Springbonnie121213,0,14,1,1,0,0,2,1,1,6
52294,348611184,Springbonnie121213,0,15,1,1,0,0,2,1,1,6
52295,348613061,Springbonnie121213,0,16,1,1,0,0,2,1,1,6
52296,348654669,Springbonnie121213,0,17,1,1,0,0,2,1,1,6
52297,350327840,Springbonnie121213,0,18,1,3,1,2,2,1,2,12
52298,351136754,Springbonnie121213,0,19,1,1,0,0,2,1,1,6
52299,352839379,Springbonnie121213,0,20,1,1,0,0,2,1,1,6
