,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
53400,292290340,TIXfan22,0,1,1,1,0,1,2,1,1,7
53401,292293803,TIXfan22,0,2,1,1,0,0,2,1,1,6
53402,292861177,TIXfan22,0,3,0,0,0,0,2,1,0,3
53403,294735531,TIXfan22,0,4,1,1,2,2,2,2,1,11
53404,297265028,TIXfan22,0,5,1,1,0,2,2,1,1,8
53405,297909954,TIXfan22,0,6,1,1,0,0,2,1,1,6
53406,298676778,TIXfan22,0,7,0,0,0,0,1,1,1,3
53407,298798635,TIXfan22,0,8,1,1,0,2,2,1,1,8
53408,299167830,TIXfan22,0,9,2,1,2,0,2,2,2,11
53409,299171637,TIXfan22,1,10,3,3,3,3,3,2,3,20
53410,301429503,TIXfan22,0,11,1,2,0,2,2,2,1,10
53411,302088040,TIXfan22,0,12,1,1,0,2,1,1,1,7
53412,302386496,TIXfan22,0,13,1,1,0,2,2,1,1,8
53413,302403919,TIXfan22,1,14,3,3,3,3,3,2,3,20
53414,302404394,TIXfan22,0,15,1,1,0,2,2,1,1,8
53415,302406573,TIXfan22,1,16,2,3,2,3,2,1,1,14
53416,302407487,TIXfan22,0,17,0,0,0,0,1,1,0,2
53417,302521135,TIXfan22,0,18,1,1,0,1,3,2,1,9
53418,302530366,TIXfan22,1,19,1,1,0,1,3,2,1,9
53419,302530714,TIXfan22,0,20,1,2,1,2,2,2,2,12
