,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
54080,277802677,Teja747,0,1,3,1,1,2,2,2,2,13
54081,277806847,Teja747,0,2,3,1,1,2,2,2,2,13
54082,278061019,Teja747,0,3,3,3,3,3,3,2,2,19
54083,278086872,Teja747,0,4,1,1,1,2,2,2,2,11
54084,278098229,Teja747,0,5,1,3,2,3,2,2,2,15
54085,347975606,Teja747,0,6,1,1,1,2,2,2,2,11
54086,348038529,Teja747,0,7,1,3,1,2,2,2,2,13
54087,349458742,Teja747,0,8,1,3,1,2,2,2,2,13
54088,349511517,Teja747,0,9,1,2,1,2,2,2,2,12
54089,350018341,Teja747,0,10,1,1,2,2,2,2,1,11
54090,351248260,Teja747,0,11,3,3,3,2,3,2,2,18
54091,351550581,Teja747,0,12,1,3,1,2,2,2,2,13
54092,351836440,Teja747,0,13,1,1,3,2,2,2,2,13
54093,351848397,Teja747,0,14,3,3,3,3,3,2,3,20
54094,352942732,Teja747,0,15,3,1,3,2,2,2,2,15
54095,354027928,Teja747,0,16,3,2,3,3,3,2,2,18
54096,355728330,Teja747,0,17,3,3,3,3,3,2,2,19
54097,355945843,Teja747,0,18,3,3,3,2,3,2,2,18
54098,356039473,Teja747,0,19,2,3,3,3,3,2,2,18
54099,356121215,Teja747,0,20,3,3,3,2,3,2,3,19
