,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
54560,296992759,TheCombinedAccount,1,1,3,3,3,3,3,2,3,20
54561,296996878,TheCombinedAccount,1,2,1,1,1,1,2,2,2,10
54562,296997242,TheCombinedAccount,1,3,1,1,0,1,1,1,1,6
54563,296999751,TheCombinedAccount,1,4,3,3,3,2,3,2,2,18
54564,297003904,TheCombinedAccount,1,5,3,3,3,2,3,2,2,18
54565,297004248,TheCombinedAccount,1,6,3,3,3,3,3,2,2,19
54566,297004540,TheCombinedAccount,1,7,3,3,3,3,3,2,2,19
54567,297005191,TheCombinedAccount,1,8,1,3,2,2,2,2,2,14
54568,297215784,TheCombinedAccount,1,9,1,0,0,0,1,2,1,5
54569,297215870,TheCombinedAccount,1,10,1,3,0,2,2,1,2,11
54570,297215872,TheCombinedAccount,1,11,3,3,3,3,3,2,2,19
54571,297215990,TheCombinedAccount,1,12,3,3,3,3,3,2,2,19
54572,297216145,TheCombinedAccount,1,13,3,3,3,3,3,2,3,20
54573,297216207,TheCombinedAccount,1,14,3,3,3,3,3,2,3,20
54574,297246488,TheCombinedAccount,1,15,1,3,3,3,2,2,2,16
54575,297247876,TheCombinedAccount,1,16,3,1,3,1,3,2,3,16
54576,297248406,TheCombinedAccount,1,17,3,3,3,3,3,2,2,19
54577,297280512,TheCombinedAccount,0,18,0,0,0,0,0,0,0,0
54578,297346949,TheCombinedAccount,1,19,3,3,3,3,3,2,3,20
54579,297630409,TheCombinedAccount,1,20,1,3,3,3,3,2,2,17
