,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
54740,278266891,TheGermanViking64,0,1,1,2,0,0,2,2,1,8
54741,278587285,TheGermanViking64,0,2,1,1,0,1,1,1,1,6
54742,279452440,TheGermanViking64,1,3,1,1,0,3,2,2,2,11
54743,279758562,TheGermanViking64,0,4,0,0,0,0,1,1,1,3
54744,279768338,TheGermanViking64,0,5,1,1,0,1,2,2,2,9
54745,280068445,TheGermanViking64,0,6,0,0,0,0,0,0,0,0
54746,280073558,TheGermanViking64,0,7,1,0,0,1,2,2,1,7
54747,280082087,TheGermanViking64,0,8,0,0,0,0,0,0,0,0
54748,280385824,TheGermanViking64,0,9,1,1,0,1,2,1,1,7
54749,281373454,TheGermanViking64,0,10,1,1,1,0,2,2,2,9
54750,281384796,TheGermanViking64,0,11,1,1,0,1,2,2,1,8
54751,281669888,TheGermanViking64,0,12,0,0,0,0,0,0,0,0
54752,281953784,TheGermanViking64,0,13,0,0,0,0,0,0,0,0
54753,282724647,TheGermanViking64,0,14,0,0,0,0,0,0,0,0
54754,282727077,TheGermanViking64,0,15,0,0,0,0,2,1,1,4
54755,282730353,TheGermanViking64,0,16,1,1,1,2,3,1,2,11
54756,284292230,TheGermanViking64,0,17,3,0,0,0,2,2,2,9
54757,286285171,TheGermanViking64,0,18,0,0,2,0,3,2,2,9
54758,286910966,TheGermanViking64,0,19,1,1,3,2,3,1,2,13
54759,288180686,TheGermanViking64,0,20,1,1,0,3,3,2,1,11
