,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
55000,278257127,TheOldMan12345,0,1,1,2,0,2,1,2,0,8
55001,281728988,TheOldMan12345,1,2,3,1,3,3,2,2,2,16
55002,282722283,TheOldMan12345,0,3,1,1,0,3,2,2,1,10
55003,284025119,TheOldMan12345,0,4,1,0,0,0,2,2,0,5
55004,285244387,TheOldMan12345,0,5,1,2,0,0,2,2,1,8
55005,285534028,TheOldMan12345,0,6,1,0,0,1,2,3,1,8
55006,286009754,TheOldMan12345,0,7,0,0,0,0,3,2,1,6
55007,286623119,TheOldMan12345,0,8,1,2,0,1,1,2,1,8
55008,287952645,TheOldMan12345,0,9,3,0,0,0,2,2,1,8
55009,289277304,TheOldMan12345,0,10,3,1,0,3,2,2,1,12
55010,289288018,TheOldMan12345,1,11,3,3,3,3,3,2,3,20
55011,290432700,TheOldMan12345,1,12,3,3,3,3,3,2,3,20
55012,293380723,TheOldMan12345,1,13,1,2,3,3,2,2,2,15
55013,293383222,TheOldMan12345,1,14,3,2,2,2,3,2,2,16
55014,293644889,TheOldMan12345,0,15,1,3,0,2,2,2,1,11
55015,297474224,TheOldMan12345,1,16,3,3,3,3,3,2,3,20
55016,308676385,TheOldMan12345,0,17,1,1,0,1,1,1,1,6
55017,309191898,TheOldMan12345,1,18,1,3,1,2,2,2,2,13
55018,309885934,TheOldMan12345,0,19,1,3,3,2,2,1,2,14
55019,311364579,TheOldMan12345,1,20,3,3,3,3,3,2,2,19
