,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
55860,300581560,TigerStarorFireStar,0,1,1,3,0,3,2,2,1,12
55861,300804318,TigerStarorFireStar,0,2,1,2,0,0,1,2,1,7
55862,301119938,TigerStarorFireStar,0,3,0,0,0,0,0,0,0,0
55863,301121400,TigerStarorFireStar,0,4,1,3,0,3,1,2,1,11
55864,301124601,TigerStarorFireStar,1,5,1,3,3,3,3,2,3,18
55865,301125553,TigerStarorFireStar,1,6,1,3,2,3,2,2,2,15
55866,301395215,TigerStarorFireStar,0,7,0,0,0,0,0,0,0,0
55867,301454532,TigerStarorFireStar,1,8,1,3,0,3,2,2,1,12
55868,302374550,TigerStarorFireStar,1,9,1,2,3,3,2,2,2,15
55869,302440662,TigerStarorFireStar,0,10,1,1,0,0,1,1,0,4
55870,304309662,TigerStarorFireStar,0,11,0,0,0,0,0,0,0,0
55871,304310893,TigerStarorFireStar,0,12,0,0,0,0,1,2,1,4
55872,304569616,TigerStarorFireStar,1,13,1,2,3,3,2,2,2,15
55873,304569777,TigerStarorFireStar,1,14,1,2,3,3,2,2,2,15
55874,304569952,TigerStarorFireStar,1,15,1,2,3,3,2,2,2,15
55875,305234712,TigerStarorFireStar,1,16,1,3,2,2,2,2,1,13
55876,305893904,TigerStarorFireStar,0,17,0,0,0,1,1,1,1,4
55877,306142109,TigerStarorFireStar,1,18,0,0,0,0,2,1,0,3
55878,306443360,TigerStarorFireStar,0,19,0,0,0,1,1,1,1,4
55879,306738076,TigerStarorFireStar,0,20,0,0,0,0,0,0,0,0
