,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
58140,283996900,WanderingNomad,0,1,0,0,0,1,1,2,1,5
58141,284714606,WanderingNomad,0,2,0,0,0,1,1,2,1,5
58142,285653071,WanderingNomad,0,3,1,3,0,3,1,2,1,11
58143,286738138,WanderingNomad,1,4,0,0,0,0,1,1,1,3
58144,286739345,WanderingNomad,0,5,1,0,0,1,1,2,1,6
58145,287381009,WanderingNomad,0,6,1,3,0,3,2,2,1,12
58146,288806731,WanderingNomad,0,7,1,3,0,3,2,2,1,12
58147,288940416,WanderingNomad,0,8,1,3,0,3,2,2,1,12
58148,289055649,WanderingNomad,0,9,1,3,0,3,2,2,1,12
58149,289370559,WanderingNomad,0,10,1,3,0,3,2,2,1,12
58150,289768252,WanderingNomad,0,11,1,1,0,0,2,1,1,6
58151,289770719,WanderingNomad,0,12,1,3,0,3,2,2,1,12
58152,291074139,WanderingNomad,0,13,1,3,0,3,2,2,1,12
58153,291438908,WanderingNomad,1,14,0,0,0,1,1,1,0,3
58154,291828239,WanderingNomad,0,15,1,3,0,3,2,2,1,12
58155,292505304,WanderingNomad,0,16,1,3,0,3,2,1,1,11
58156,292783196,WanderingNomad,0,17,1,3,0,3,2,1,1,11
58157,294545637,WanderingNomad,0,18,1,3,0,3,2,1,1,11
58158,302825594,WanderingNomad,0,19,1,3,0,3,2,2,1,12
58159,305275913,WanderingNomad,0,20,0,0,0,0,1,1,0,2
