,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
58180,325834165,Warrior-catsrule,0,1,1,2,0,2,2,2,1,10
58181,325834962,Warrior-catsrule,1,2,1,3,0,2,2,1,1,10
58182,325839180,Warrior-catsrule,0,3,1,1,0,1,2,1,1,7
58183,326279209,Warrior-catsrule,1,4,3,3,0,2,3,1,1,13
58184,326280616,Warrior-catsrule,1,5,0,0,0,0,0,0,0,0
58185,326281090,Warrior-catsrule,0,6,0,0,0,0,0,0,0,0
58186,326283642,Warrior-catsrule,0,7,1,2,0,1,2,2,1,9
58187,326320843,Warrior-catsrule,1,8,1,1,0,1,2,1,1,7
58188,326325598,Warrior-catsrule,1,9,1,1,0,2,2,1,1,8
58189,326330533,Warrior-catsrule,1,10,0,0,0,0,2,1,0,3
58190,326341434,Warrior-catsrule,1,11,1,1,0,1,2,1,1,7
58191,326343699,Warrior-catsrule,0,12,1,3,0,2,2,1,1,10
58192,326349309,Warrior-catsrule,1,13,1,3,0,2,3,2,2,13
58193,326428111,Warrior-catsrule,1,14,1,1,0,1,2,1,2,8
58194,326429019,Warrior-catsrule,1,15,3,3,0,2,2,1,1,12
58195,326430233,Warrior-catsrule,0,16,1,1,2,2,2,1,1,10
58196,327453801,Warrior-catsrule,1,17,1,1,0,2,2,1,1,8
58197,327543870,Warrior-catsrule,1,18,1,1,0,1,2,2,1,8
58198,327549865,Warrior-catsrule,1,19,3,3,1,2,2,1,1,13
58199,327617852,Warrior-catsrule,1,20,3,3,0,2,2,1,1,12
