,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
58240,285724177,Warrior_Cat_Lover___,0,1,1,0,0,0,1,2,1,5
58241,286041560,Warrior_Cat_Lover___,0,2,1,0,0,0,1,2,1,5
58242,286090804,Warrior_Cat_Lover___,0,3,0,0,0,0,0,0,0,0
58243,286097109,Warrior_Cat_Lover___,0,4,1,0,0,0,1,2,1,5
58244,286110400,Warrior_Cat_Lover___,0,5,1,0,0,0,1,2,1,5
58245,286971009,Warrior_Cat_Lover___,0,6,1,0,0,0,1,2,1,5
58246,287039040,Warrior_Cat_Lover___,0,7,1,0,0,0,1,2,1,5
58247,288594384,Warrior_Cat_Lover___,0,8,1,0,0,0,1,2,1,5
58248,289418108,Warrior_Cat_Lover___,0,9,1,0,0,0,1,2,1,5
58249,289615625,Warrior_Cat_Lover___,0,10,1,0,0,0,1,2,1,5
58250,289670021,Warrior_Cat_Lover___,1,11,0,0,0,0,0,0,0,0
58251,290382430,Warrior_Cat_Lover___,1,12,1,1,0,0,1,2,1,6
58252,291897634,Warrior_Cat_Lover___,0,13,1,0,0,0,1,2,1,5
58253,293112109,Warrior_Cat_Lover___,0,14,1,0,0,0,1,2,1,5
58254,294330993,Warrior_Cat_Lover___,0,15,1,0,0,0,1,2,1,5
58255,295008050,Warrior_Cat_Lover___,0,16,1,0,0,0,1,2,1,5
58256,296559338,Warrior_Cat_Lover___,1,17,1,1,0,0,2,2,1,7
58257,296701161,Warrior_Cat_Lover___,1,18,1,1,0,0,2,2,1,7
58258,297412398,Warrior_Cat_Lover___,1,19,1,2,0,0,2,2,1,8
58259,297482459,Warrior_Cat_Lover___,1,20,1,0,0,0,2,2,1,6
